displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Revenue ,Revenue,61896.00,,,2024,Annual
Total Revenue ,TotalRevenue,61896.00,,,2024,Annual
Costof Revenue Total ,CostofRevenueTotal,31338.00,,,2024,Annual
Gross Profit ,GrossProfit,30558.00,,,2024,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,13325.00,,,2024,Annual
Depreciation/ Amortization ,Depreciation/Amortization,1216.00,,,2024,Annual
Unusual Expense( Income) ,UnusualExpense(Income),124.00,,,2024,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,2570.00,,,2024,Annual
Total Operating Expense ,TotalOperatingExpense,48573.00,,,2024,Annual
Operating Income ,OperatingIncome,13323.00,,,2024,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,816.00,,,2024,Annual
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,-2,,,2024,Annual
Other Net ,OtherNet,-211,,,2024,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,13926.00,,,2024,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,3644.00,,,2024,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,10282.00,,,2024,Annual
Minority Interest ,MinorityInterest,-5,,,2024,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,10277.00,,,2024,Annual
Net Income ,NetIncome,10277.00,,,2024,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,10277.00,,,2024,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,10277.00,,,2024,Annual
Diluted Net Income ,DilutedNetIncome,10277.00,,,2024,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,234.96,,,2024,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,43.74,,,2024,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,42.00,,,2024,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,44.14,,,2024,Annual
period Length ,periodLength,12,,,2024,Annual
period Type ,periodType,Months,,,2024,Annual
