displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Revenue ,Revenue,15210.00,,,2024,Interim
Total Revenue ,TotalRevenue,15210.00,,,2024,Interim
Costof Revenue Total ,CostofRevenueTotal,7257.00,,,2024,Interim
Gross Profit ,GrossProfit,7953.00,,,2024,Interim
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,2448.00,,,2024,Interim
Depreciation/ Amortization ,Depreciation/Amortization,320.00,,,2024,Interim
Unusual Expense( Income) ,UnusualExpense(Income),52.00,,,2024,Interim
Other Operating Expenses Total ,OtherOperatingExpensesTotal,1970.00,,,2024,Interim
Total Operating Expense ,TotalOperatingExpense,12047.00,,,2024,Interim
Operating Income ,OperatingIncome,3163.00,,,2024,Interim
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,27.00,,,2024,Interim
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,-2,,,2024,Interim
Other Net ,OtherNet,231.00,,,2024,Interim
Net Income Before Taxes ,NetIncomeBeforeTaxes,3419.00,,,2024,Interim
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,858.00,,,2024,Interim
Net Income After Taxes ,NetIncomeAfterTaxes,2561.00,,,2024,Interim
Minority Interest ,MinorityInterest,-3,,,2024,Interim
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,2558.00,,,2024,Interim
Net Income ,NetIncome,2558.00,,,2024,Interim
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,2558.00,,,2024,Interim
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,2558.00,,,2024,Interim
Diluted Net Income ,DilutedNetIncome,2558.00,,,2024,Interim
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,234.90,,,2024,Interim
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,10.89,,,2024,Interim
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,24.00,,,2024,Interim
Diluted Normalized EPS ,DilutedNormalizedEPS,11.06,,,2024,Interim
period Length ,periodLength,3,,,2024,Interim
period Type ,periodType,Months,,,2024,Interim
