displayName,key,value
Net Interest coverage - most recent fiscal year,netInterestCoverageMostRecentFiscalYear,
"Current EV/Free Cash Flow, LTM",currentEVPerFreeCashFlowLTM,
Free Cash Flow - trailing 12 month,freeCashFlowtrailing12Month,-18620
Total debt/total equity - most recent quarter,totalDebtPerTotalEquityMostRecentQuarter,0.03
Free Cash Flow - most recent fiscal year,freeCashFlowMostRecentFiscalYear,-18620
LT debt/equity - most recent fiscal year,ltDebtPerEquityMostRecentFiscalYear),0.03
Quick ratio - most recent fiscal year,quickRatioMostRecentFiscalYear,1.07
Quick ratio - most recent quarter,quickRatioMostRecentQuarter,1.07
Payout ratio - trailing 12 month,payoutRatioTrailing12Month,116.94
Current ratio - most recent fiscal year,currentRatioMostRecentFiscalYear,1.33
"Current EV/Free Cash Flow, LFY",currentEVPerFreeCashFlowLFY,
LT debt/equity - most recent quarter,lTDebtPerEquityMostRecentQuarter,0.03
Total debt/total equity - most recent fiscal year,totalDebtPerTotalEquityMostRecentFiscalYear,0.03
Net Interest coverage - trailing 12 month,netInterestCoverageTrailing12Month,25.80
Current ratio - most recent quarter,currentRatioMostRecentQuarter,1.33
Payout ratio - most recent fiscal year,payoutRatioMostRecentFiscalYear,116.94
