displayName,key,value
Earnings before taxes - most recent fiscal year,earningsBeforTaxesMostRecentFiscalYear,144150.00
Revenue - trailing 12 month,revenueTrailing12Month),631210.00
Net Income available to common - most recent fiscal year,netIncomeAvailableToCommonMostRecentFiscalYear,106490.00
EBITD - trailing 12 month,eBITDTrailing12Month,148510.00
Net Income available to common - trailing 12 months,netIncomeAvailableToCommonTrailing12Months,106490.00
"Earnings per Share, Normalized, Excluding Extraordinary Items, Avg. Diluted Shares Outstanding, TTM",earningsPerShareNormalizedExcludingExtraordinaryItemsAvgDilutedSharesOutstandingTTM,43.96
Revenue - most recent fiscal year,revenueMostRecentFiscalYear,631210.00
"Net Income Available to Common, Normalized - most recent fiscal year",netIncomeAvailabletoCommonNormalizedMostRecentFiscalYear,103343.90
Earnings before taxes - trailing 12 month,earningsBeforeTaxesTrailing12Month,144150.00
Earnings before taxes Normalized - most recent fiscal year,earningsBeforeTaxesNormalizedMostRecentFiscalYear,139900.00
EBITD - most recent fiscal year,eBITDMostRecentFiscalYear,148510.00
