displayName,key,value
Return on average equity - 5 year average,returnOnAverageEquity5YearAverage,21.10
Net Income/employee - trailing 12 month,netIncomePerEmployeeTrailing12Month,5675460.00
Revenue/employee - most recent fiscal year,revenuePerEmployeeMostRecentFiscalYear,33022570.00
Return on investment - most recent fiscal year,returnOnInvestmentMostRecentFiscalYear,16.60
Return on average assets - most recent fiscal year,returnOnAverageAssetsMostRecenFiscalYear,13.48
Receivables turnover - most recent fiscal year,receivablesTurnoverMostRecentFiscalYear,18.52
Return on investment - trailing 12 month,returnOnInvestmentTrailing12Month,16.60
Return on average assets - trailing 12 month,returnOnAverageAssetsTrailing12Month,13.48
Inventory turnover - most recent fiscal year,inventoryTurnoverMostRecentFiscalYear,7.65
Inventory turnover - trailing 12 month,inventoryTurnoverTrailing12Month),7.25
Revenue/employee - trailing 12 month,revenuePerEmployeeTrailing12Month,33571430.00
Return on average assets - 5 year average,returnOnAverageAssets5YearAverage,14.08
Net Income/employee - most recent fiscal year,netIncomePerEmployeeMostRecentFiscalYear,5582673.00
Return on average equity - trailing 12 month,returnOnAverageEquityTrailing12Month,21.17
Receivables turnover - trailing 12 month,receivablesTurnoverTrailing12Month,18.52
Asset turnover - most recent fiscal year,assetTurnoverMostRecentFiscalYear,0.80
Asset turnover - trailing 12 month,assetTurnoverTrailing12Month,0.80
Return on average equity - most recent fiscal year,returnOnAverageEquityMostRecentFiscalYear),21.17
Return on investment - 5 year average,returnOnInvestment5YearAverage,17.13
