Date,Price on NSE
2024-06-06,2549.6
2024-06-07,2577.8
2024-06-10,2565.35
2024-06-11,2556.35
2024-06-12,2528.7
2024-06-13,2487.4
2024-06-14,2479.75
2024-06-18,2486.25
2024-06-19,2457.0
2024-06-20,2482.2
2024-06-21,2441.3
2024-06-24,2442.2
2024-06-25,2432.2
2024-06-26,2445.6
2024-06-27,2462.15
2024-06-28,2473.05
2024-07-01,2505.1
2024-07-02,2485.15
2024-07-03,2510.35
2024-07-04,2495.95
2024-07-05,2547.0
2024-07-08,2587.15
2024-07-09,2590.15
2024-07-10,2610.45
2024-07-11,2608.85
2024-07-12,2622.25
2024-07-15,2620.3
2024-07-16,2688.45
2024-07-18,2738.4
2024-07-19,2727.0
2024-07-22,2735.3
2024-07-23,2766.35
2024-07-24,2717.05
2024-07-25,2707.2
2024-07-26,2711.05
2024-07-29,2711.6
2024-07-30,2691.4
2024-07-31,2705.65
2024-08-01,2715.55
2024-08-02,2692.55
2024-08-05,2715.9
2024-08-06,2750.05
2024-08-07,2744.05
2024-08-08,2733.2
2024-08-09,2747.2
2024-08-12,2748.7
2024-08-13,2741.4
2024-08-14,2722.05
2024-08-16,2748.25
2024-08-19,2742.55
2024-08-20,2751.05
2024-08-21,2791.2
2024-08-22,2792.8
2024-08-23,2815.6
2024-08-26,2821.15
2024-08-27,2766.9
2024-08-28,2764.35
2024-08-29,2785.25
2024-08-30,2778.0
2024-09-02,2789.05
2024-09-03,2794.3
2024-09-04,2841.25
2024-09-05,2838.45
2024-09-06,2838.95
2024-09-09,2921.8
2024-09-10,2898.6
2024-09-11,2904.15
2024-09-12,2956.4
2024-09-13,2932.95
2024-09-16,2867.1
2024-09-17,2873.5
2024-09-18,2875.85
2024-09-19,2911.75
2024-09-20,2977.6
2024-09-23,3028.55
2024-09-24,2950.55
2024-09-25,2948.95
2024-09-26,2986.1
2024-09-27,2966.25
2024-09-30,2958.3
2024-10-01,2923.75
2024-10-03,2893.35
2024-10-04,2848.75
2024-10-07,2833.4
2024-10-08,2818.8
2024-10-09,2768.95
2024-10-10,2754.7
2024-10-11,2783.2
2024-10-14,2789.1
2024-10-15,2781.45
2024-10-16,2781.25
