Age,CurrencyCode,Mean,High,Low,Median,StandardDeviation,SmartEstimate,NumEstimates
OneWeekAgo,INR,46,48,44,45,1,45,18
ThirtyDaysAgo,INR,45,47,44,45,1,45,17
SixtyDaysAgo,INR,48,53,46,49,1,48,17
NinetyDaysAgo,INR,48,53,45,49,1,48,17
OneWeekAgo,INR,51,54,48,50,1,50,18
ThirtyDaysAgo,INR,50,54,48,50,1,50,17
SixtyDaysAgo,INR,53,58,50,53,2,53,17
NinetyDaysAgo,INR,54,58,51,53,1,53,17
OneWeekAgo,INR,56,58,54,56,1,56,9
ThirtyDaysAgo,INR,56,58,54,56,1,56,9
SixtyDaysAgo,INR,58,58,58,58,0,58,1
NinetyDaysAgo,INR,58,58,58,58,0,58,1
