displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,59684.00,,,2024,Interim
Depreciation/ Depletion ,Depreciation/Depletion,1995.89,,,2024,Interim
Non- Cash Items ,Non-CashItems,4349.57,,,2024,Interim
Changesin Working Capital ,ChangesinWorkingCapital,92026.09,,,2024,Interim
Cashfrom Operating Activities ,CashfromOperatingActivities,158055.55,,,2024,Interim
Capital Expenditures ,CapitalExpenditures,-3678.55,,,2024,Interim
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,-142252.55,,,2024,Interim
Cashfrom Investing Activities ,CashfromInvestingActivities,-145931.09,,,2024,Interim
Total Cash Dividends Paid ,TotalCashDividendsPaid,-5598.60,,,2024,Interim
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,1170.87,,,2024,Interim
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,18192.24,,,2024,Interim
Cashfrom Financing Activities ,CashfromFinancingActivities,13764.51,,,2024,Interim
Foreign Exchange Effects ,ForeignExchangeEffects,423.44,,,2024,Interim
Net Changein Cash ,NetChangeinCash,26312.41,,,2024,Interim
Cash Taxes Paid ,CashTaxesPaid,13343.60,,,2024,Interim
period Length ,periodLength,12,,,2024,Interim
period Type ,periodType,Months,,,2024,Interim
