displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,69464.03,,,2025,Annual
Depreciation/ Depletion ,Depreciation/Depletion,2690.38,,,2025,Annual
Non- Cash Items ,Non-CashItems,622.32,,,2025,Annual
Changesin Working Capital ,ChangesinWorkingCapital,50028.53,,,2025,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,122805.26,,,2025,Annual
Capital Expenditures ,CapitalExpenditures,-4770,,,2025,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,-72518.36,,,2025,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-77288.36,,,2025,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-7041.27,,,2025,Annual
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,1437.52,,,2025,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,11192.98,,,2025,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,5589.23,,,2025,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,148.43,,,2025,Annual
Net Changein Cash ,NetChangeinCash,51254.56,,,2025,Annual
Cash Taxes Paid ,CashTaxesPaid,18116.46,,,2025,Annual
period Length ,periodLength,12,,,2025,Annual
period Type ,periodType,Months,,,2025,Annual
