displayName,key,value
"EPS Change %, TTM over TTM",ePSChangePercentTTMOverTTM,14.67
"Revenue growth rate, 5 year",revenueGrowthRate5Year,17.04
"EPS growth rate, 5 year",ePSGrowthRate5Year,34.08
Revenue Change % - most recent quarter 1 year ago,revenueChangePercentMostRecentQuarter1YearAgo,13.57
"Growth rate% - dividend, 3 year",growthRatePercentDividend3Year,30.06
"Growth rate% - EPS, 3 year",growthRatePercentEPS3year,26.09
Revenue/share (5 yr growth),revenuePerShare(5yrGrowth),12.35
"Free Operating Cash Flow, 5 Year CAGR",freeOperatingCashFlow5YearCAGR,7.64
"Tangible Book Value, Total Equity, 5 Year CAGR",tangibleBookValueTotalEquity5YearCAGR,19.98
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year Interim CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearInterimCAGR,
"Capital Spending growth rate, 5 year",capitalSpendingGrowthRate5Year,20.55
"Revenue Change %, TTM over TTM",revenueChangePercentTTMPOverTTM,16.81
"Growth rate% -  Revenue, 3 year",growthRatePercentRevenue3Year,25.00
"Book value per share growth rate, 5 year",bookValuePerShareGrowthRate5Year,18.24
EPS Change % - most recent quarter 1 year ago,ePSChangePercentMostRecentQuarter1YearAgo),14.85
"Net Profit Margin growth rate, 5 year",netProfitMarginGrowthRate5Year,17.48
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearCAGR,17.47
"Total Debt, 5 Year CAGR",totalDebt5YearCAGR,-0.06
