displayName,key,value
Dividend Per Share - 5 year average,dividendperShare5YearAverage,7.20
Cash Flow per share  - trailing 12 month,cashFlowPerShareTrailing12Month,
Free Cash Flow per share - trailing 12 month,freeCashFlowpersharetrailing12month,
Cash Flow per share - most recent fiscal year,cashflowPerShareMostRecentFiscalYear,79.62
Book value (tangible) per share - most recent quarter,bookValueTangibleperSharemostRecentQuarter,428.88
Cash per share - most recent quarter,cashPerShareMostRecentQuarter,300.51
EPS including extraordinary items - trailing 12 month,ePSIncludingExtraOrdinaryItemsTrailing12Month,71.16
EPS including extraordinary items - most recent fiscal year,ePSIncludingExtraordinaryItemsMostRecentFiscalYear,71.14
EBITD per share - trailing 12 month,eBITDPerShareTrailing12Month,
Revenue/share - trailing 12 month,rRevenuePerShareTrailing12onth,286.65
EPS excluding extraordinary items - trailing 12 month,eEPSExcludingExtraordinaryIitemsTrailing12onth,71.16
EPS Basic excluding extraordinary items - most recent fiscal year,ePSBasicExcludingExtraordinaryItemsMostRecentFiscalYear,72.41
EPS Basic excluding extraordinary items - trailing 12 month,ePSBasicExcludingExtraordinaryItemsItrailing12Month,72.40
Book value per share - most recent fiscal year,bookValuePerShare MostRecentFiscalYear,440.76
Book value per share - most recent quarter,bookValuePerShareMostRecentQuarter,440.76
Dividend per share - most recent fiscal year,dividendPerShare MostRecentFiscalYear,11.00
Revenue/share - most recent fiscal year,revenuePerShareMostRecentFiscalYear,286.57
EPS Normalized - most recent fiscal year,ePSNormalizedMostRecentFiscalYear,71.14
Book value (tangible) per share - most recent fiscal year,bookValuePerShareMostRecentFiscalYear,428.88
Dividends per share - trailing 12 month,dividendsPerShareTrailing12Month,11.00
EPS excluding extraordinary items - most recent fiscal year,eEPSExcludingExtraordinaryItemsMmostRecentFiscal yea,71.14
Cash per share - most recent fiscal year,cashPerShareMostRecentFiscalYear,300.51
