Date,Price on NSE
2024-06-06,1110.4
2024-06-07,1121.7
2024-06-10,1123.8
2024-06-11,1118.2
2024-06-12,1119.55
2024-06-13,1107.35
2024-06-14,1105.65
2024-06-18,1122.85
2024-06-19,1144.45
2024-06-20,1156.8
2024-06-21,1158.65
2024-06-24,1170.1
2024-06-25,1197.95
2024-06-26,1218.0
2024-06-27,1219.9
2024-06-28,1199.6
2024-07-01,1211.85
2024-07-02,1190.6
2024-07-03,1201.6
2024-07-04,1233.0
2024-07-05,1233.4
2024-07-08,1235.05
2024-07-09,1248.25
2024-07-10,1243.2
2024-07-11,1238.45
2024-07-12,1232.9
2024-07-15,1229.95
2024-07-16,1239.9
2024-07-18,1250.3
2024-07-19,1248.65
2024-07-22,1241.15
2024-07-23,1226.75
2024-07-24,1223.0
2024-07-25,1197.9
2024-07-26,1207.2
2024-07-29,1212.7
2024-07-30,1209.45
2024-07-31,1214.9
2024-08-01,1210.1
2024-08-02,1196.55
2024-08-05,1172.6
2024-08-06,1166.85
2024-08-07,1172.45
2024-08-08,1164.6
2024-08-09,1171.6
2024-08-12,1172.8
2024-08-13,1168.35
2024-08-14,1161.65
2024-08-16,1187.25
2024-08-19,1175.9
2024-08-20,1179.45
2024-08-21,1174.85
2024-08-22,1191.1
2024-08-23,1203.5
2024-08-26,1213.3
2024-08-27,1226.35
2024-08-28,1223.85
2024-08-29,1221.9
2024-08-30,1229.2
2024-09-02,1229.95
2024-09-03,1247.7
2024-09-04,1236.35
2024-09-05,1235.95
2024-09-06,1208.15
2024-09-09,1235.0
2024-09-10,1237.3
2024-09-11,1236.35
2024-09-12,1252.15
2024-09-13,1250.35
2024-09-16,1262.85
2024-09-17,1268.1
2024-09-18,1288.35
2024-09-19,1292.0
2024-09-20,1338.45
2024-09-23,1321.9
2024-09-24,1318.6
2024-09-25,1323.85
2024-09-26,1329.05
2024-09-27,1306.6
2024-09-30,1273.0
2024-10-01,1274.4
2024-10-03,1256.35
2024-10-04,1239.75
2024-10-07,1233.9
2024-10-08,1236.6
2024-10-09,1244.15
2024-10-10,1243.5
2024-10-11,1223.0
2024-10-14,1231.75
2024-10-15,1255.5
2024-10-16,1243.15
2024-10-17,1231.25
2024-10-18,1264.5
2024-10-21,1259.05
2024-10-22,1267.5
2024-10-23,1251.6
2024-10-24,1252.75
2024-10-25,1255.45
2024-10-28,1292.85
2024-10-29,1331.85
2024-10-30,1312.15
2024-10-31,1292.25
2024-11-01,1291.8
2024-11-04,1277.2
2024-11-05,1296.7
2024-11-06,1302.35
2024-11-07,1278.7
2024-11-08,1258.85
2024-11-11,1269.3
2024-11-12,1270.6
2024-11-13,1253.7
2024-11-14,1256.95
2024-11-18,1253.45
2024-11-19,1249.1
2024-11-21,1250.55
2024-11-22,1278.05
2024-11-25,1300.95
2024-11-26,1304.95
2024-11-27,1300.7
2024-11-28,1286.35
2024-11-29,1300.1
2024-12-02,1304.65
2024-12-03,1308.4
2024-12-04,1316.05
2024-12-05,1336.5
2024-12-06,1328.75
2024-12-09,1322.3
2024-12-10,1330.45
2024-12-11,1327.5
2024-12-12,1329.25
2024-12-13,1344.9
2024-12-16,1346.1
2024-12-17,1333.75
2024-12-18,1314.15
2024-12-19,1286.9
2024-12-20,1288.4
2024-12-23,1296.8
2024-12-24,1297.25
2024-12-26,1297.35
2024-12-27,1307.55
2024-12-30,1294.65
2024-12-31,1281.65
2025-01-01,1283.65
2025-01-02,1290.6
2025-01-03,1265.05
2025-01-06,1264.1
2025-01-07,1279.25
2025-01-08,1263.75
2025-01-09,1262.4
2025-01-10,1249.85
2025-01-13,1229.75
2025-01-14,1240.3
2025-01-15,1238.25
2025-01-16,1249.1
2025-01-17,1225.45
2025-01-20,1232.95
2025-01-21,1196.15
2025-01-22,1200.45
2025-01-23,1201.75
2025-01-24,1209.2
2025-01-27,1227.95
2025-01-28,1246.9
2025-01-29,1251.65
2025-01-30,1255.6
2025-01-31,1252.8
2025-02-01,1255.55
2025-02-03,1253.0
2025-02-04,1268.2
2025-02-05,1267.7
2025-02-06,1272.4
2025-02-07,1256.9
2025-02-10,1262.6
2025-02-11,1252.75
2025-02-12,1251.8
2025-02-13,1248.9
2025-02-14,1260.1
2025-02-17,1251.15
2025-02-18,1243.05
2025-02-19,1261.65
2025-02-20,1249.95
2025-02-21,1232.95
2025-02-24,1218.35
2025-02-25,1224.15
2025-02-27,1222.45
2025-02-28,1204.1
2025-03-03,1206.2
2025-03-04,1210.4
2025-03-05,1215.7
2025-03-06,1218.05
2025-03-07,1214.55
2025-03-10,1214.85
2025-03-11,1245.4
2025-03-12,1243.95
2025-03-13,1250.05
2025-03-17,1269.0
2025-03-18,1309.85
