Date,50 DMA
2024-06-06,1469.86
2024-06-07,1470.73
2024-06-10,1471.32
2024-06-11,1471.7
2024-06-12,1472.19
2024-06-13,1473.57
2024-06-14,1474.7
2024-06-18,1476.0
2024-06-19,1478.05
2024-06-20,1480.0
2024-06-21,1481.85
2024-06-24,1482.18
2024-06-25,1482.71
2024-06-26,1483.3
2024-06-27,1484.07
2024-06-28,1483.3
2024-07-01,1482.26
2024-07-02,1480.19
2024-07-03,1479.22
2024-07-04,1477.8
2024-07-05,1476.09
2024-07-08,1474.6
2024-07-09,1473.02
2024-07-10,1471.17
2024-07-11,1469.55
2024-07-12,1468.17
2024-07-15,1467.23
2024-07-16,1466.39
2024-07-18,1466.02
2024-07-19,1464.7
2024-07-22,1463.08
2024-07-23,1461.13
2024-07-24,1458.6
2024-07-25,1455.48
2024-07-26,1453.46
2024-07-29,1451.81
2024-07-30,1450.95
2024-07-31,1450.04
2024-08-01,1448.85
2024-08-02,1447.11
2024-08-05,1444.85
2024-08-06,1442.34
2024-08-07,1438.53
2024-08-08,1434.95
2024-08-09,1431.61
2024-08-12,1428.45
2024-08-13,1425.39
2024-08-14,1421.97
2024-08-16,1419.7
2024-08-19,1416.88
2024-08-20,1415.48
2024-08-21,1414.25
2024-08-22,1412.98
2024-08-23,1412.02
2024-08-26,1410.94
2024-08-27,1409.85
2024-08-28,1410.08
2024-08-29,1410.37
2024-08-30,1410.96
2024-09-02,1412.45
2024-09-03,1413.4
2024-09-04,1414.22
2024-09-05,1414.56
2024-09-06,1414.36
2024-09-09,1414.9
2024-09-10,1415.71
2024-09-11,1415.92
2024-09-12,1417.0
2024-09-13,1418.84
2024-09-16,1420.86
2024-09-17,1422.64
2024-09-18,1424.9
2024-09-19,1427.25
2024-09-20,1429.33
2024-09-23,1430.73
2024-09-24,1431.42
2024-09-25,1431.73
2024-09-26,1432.56
2024-09-27,1433.74
2024-09-30,1434.28
2024-10-01,1433.32
2024-10-03,1431.53
2024-10-04,1429.62
2024-10-07,1426.53
2024-10-08,1423.91
2024-10-09,1420.68
2024-10-10,1418.16
2024-10-11,1415.39
2024-10-14,1413.63
2024-10-15,1411.56
2024-10-16,1409.0
2024-10-17,1406.58
2024-10-18,1404.26
2024-10-21,1400.49
2024-10-22,1395.54
2024-10-23,1390.79
2024-10-24,1386.45
2024-10-25,1372.92
2024-10-28,1360.45
2024-10-29,1347.81
2024-10-30,1336.38
2024-10-31,1325.37
2024-11-01,1315.06
2024-11-04,1305.21
2024-11-05,1296.77
2024-11-06,1288.18
2024-11-07,1279.11
2024-11-08,1270.27
