displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash Duefrom Banks ,CashDuefromBanks,15887.64,,,2020,Annual
Other Earning Assets Total ,OtherEarningAssetsTotal,61333.00,,,2020,Annual
Net Loans ,NetLoans,205552.86,,,2020,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,3708.43,,,2020,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-1837.56,,,2020,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,1870.88,,,2020,Annual
Long Term Investments ,LongTermInvestments,2.20,,,2020,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,950.63,,,2020,Annual
Other Assets Total ,OtherAssetsTotal,21631.39,,,2020,Annual
Total Assets ,TotalAssets,307228.60,,,2020,Annual
Accounts Payable ,AccountsPayable,1276.60,,,2020,Annual
Total Deposits ,TotalDeposits,202026.99,,,2020,Annual
Total Short Term Borrowings ,TotalShortTermBorrowings,476.90,,,2020,Annual
Long Term Debt ,LongTermDebt,60753.55,,,2020,Annual
Total Long Term Debt ,TotalLongTermDebt,60753.55,,,2020,Annual
Total Debt ,TotalDebt,61230.45,,,2020,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,7946.53,,,2020,Annual
Total Liabilities ,TotalLiabilities,272480.57,,,2020,Annual
Common Stock Total ,CommonStockTotal,693.54,,,2020,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,12426.09,,,2020,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),20963.23,,,2020,Annual
ESOP Debt Guarantee ,ESOPDebtGuarantee,9.48,,,2020,Annual
Unrealized Gain( Loss) ,UnrealizedGain(Loss),638.48,,,2020,Annual
Other Equity Total ,OtherEquityTotal,17.22,,,2020,Annual
Total Equity ,TotalEquity,34748.03,,,2020,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,307228.60,,,2020,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,69.35,,,2020,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,501.03,,,2020,Annual
period Length ,periodLength,0.00,,,2020,Annual
