displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,3929.42,,,2021,Annual
Depreciation/ Depletion ,Depreciation/Depletion,327.64,,,2021,Annual
Non- Cash Items ,Non-CashItems,847.20,,,2021,Annual
Changesin Working Capital ,ChangesinWorkingCapital,39871.46,,,2021,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,44975.72,,,2021,Annual
Capital Expenditures ,CapitalExpenditures,-341.20,,,2021,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,10.07,,,2021,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-331.13,,,2021,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,0.00,,,2021,Annual
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,5334.95,,,2021,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,-9430.74,,,2021,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-4095.79,,,2021,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,6.99,,,2021,Annual
Net Changein Cash ,NetChangeinCash,40555.78,,,2021,Annual
Cash Taxes Paid ,CashTaxesPaid,833.13,,,2021,Annual
period Length ,periodLength,12,,,2021,Annual
period Type ,periodType,Months,,,2021,Annual
