displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,9932.19,,,2023,Annual
Depreciation/ Depletion ,Depreciation/Depletion,407.21,,,2023,Annual
Non- Cash Items ,Non-CashItems,815.54,,,2023,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-23597.21,,,2023,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,-12442.28,,,2023,Annual
Capital Expenditures ,CapitalExpenditures,-571.09,,,2023,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,10.93,,,2023,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-560.16,,,2023,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,0.00,,,2023,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-658.89,,,2023,Annual
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,85.71,,,2023,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,1688.01,,,2023,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,1114.83,,,2023,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,79.66,,,2023,Annual
Net Changein Cash ,NetChangeinCash,-11807.95,,,2023,Annual
Cash Taxes Paid ,CashTaxesPaid,1195.70,,,2023,Annual
period Length ,periodLength,12,,,2023,Annual
period Type ,periodType,Months,,,2023,Annual
