displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Interest Income Bank ,InterestIncomeBank,45748.21,,,2024,Annual
Total Interest Expense ,TotalInterestExpense,25132.29,,,2024,Annual
Net Interest Income ,NetInterestIncome,20615.92,,,2024,Annual
Loan Loss Provision ,LoanLossProvision,3083.77,,,2024,Annual
Net Interest Inc After Loan Loss Prov ,NetInterestIncAfterLoanLossProv,17532.15,,,2024,Annual
Non- Interest Income Bank ,Non-InterestIncomeBank,9395.77,,,2024,Annual
Non- Interest Expense Bank ,Non-InterestExpenseBank,-14948.72,,,2024,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,11979.20,,,2024,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,3002.21,,,2024,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,8976.99,,,2024,Annual
Equity In Affiliates ,EquityInAffiliates,0.31,,,2024,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,8977.29,,,2024,Annual
Net Income ,NetIncome,8977.29,,,2024,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,8977.29,,,2024,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,8977.29,,,2024,Annual
Diluted Net Income ,DilutedNetIncome,8977.29,,,2024,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,77.84,,,2024,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,115.33,,,2024,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,16.50,,,2024,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,120.65,,,2024,Annual
period Length ,periodLength,12,,,2024,Annual
period Type ,periodType,Months,,,2024,Annual
