displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Interest Income Bank ,InterestIncomeBank,11572.25,,,2024,Interim
Total Interest Expense ,TotalInterestExpense,6276.62,,,2024,Interim
Net Interest Income ,NetInterestIncome,5295.63,,,2024,Interim
Loan Loss Provision ,LoanLossProvision,969.25,,,2024,Interim
Net Interest Inc After Loan Loss Prov ,NetInterestIncAfterLoanLossProv,4326.38,,,2024,Interim
Non- Interest Income Bank ,Non-InterestIncomeBank,2395.92,,,2024,Interim
Non- Interest Expense Bank ,Non-InterestExpenseBank,-3649.22,,,2024,Interim
Net Income Before Taxes ,NetIncomeBeforeTaxes,3073.08,,,2024,Interim
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,771.66,,,2024,Interim
Net Income After Taxes ,NetIncomeAfterTaxes,2301.42,,,2024,Interim
Equity In Affiliates ,EquityInAffiliates,0.07,,,2024,Interim
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,2301.49,,,2024,Interim
Net Income ,NetIncome,2301.49,,,2024,Interim
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,2301.49,,,2024,Interim
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,2301.49,,,2024,Interim
Diluted Net Income ,DilutedNetIncome,2301.49,,,2024,Interim
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,77.88,,,2024,Interim
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,29.55,,,2024,Interim
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,0.00,,,2024,Interim
Diluted Normalized EPS ,DilutedNormalizedEPS,29.55,,,2024,Interim
period Length ,periodLength,3,,,2024,Interim
period Type ,periodType,Months,,,2024,Interim
