displayName,key,value
"EPS Change %, TTM over TTM",ePSChangePercentTTMOverTTM,-71.36
"Revenue growth rate, 5 year",revenueGrowthRate5Year,11.08
"EPS growth rate, 5 year",ePSGrowthRate5Year,-12.41
Revenue Change % - most recent quarter 1 year ago,revenueChangePercentMostRecentQuarter1YearAgo,-12.83
"Growth rate% - dividend, 3 year",growthRatePercentDividend3Year,
"Growth rate% - EPS, 3 year",growthRatePercentEPS3year,-18.90
Revenue/share (5 yr growth),revenuePerShare(5yrGrowth),4.64
"Free Operating Cash Flow, 5 Year CAGR",freeOperatingCashFlow5YearCAGR,
"Tangible Book Value, Total Equity, 5 Year CAGR",tangibleBookValueTotalEquity5YearCAGR,13.29
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year Interim CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearInterimCAGR,
"Capital Spending growth rate, 5 year",capitalSpendingGrowthRate5Year,11.70
"Revenue Change %, TTM over TTM",revenueChangePercentTTMPOverTTM,6.38
"Growth rate% -  Revenue, 3 year",growthRatePercentRevenue3Year,16.45
"Book value per share growth rate, 5 year",bookValuePerShareGrowthRate5Year,10.68
EPS Change % - most recent quarter 1 year ago,ePSChangePercentMostRecentQuarter1YearAgo),-199.20
"Net Profit Margin growth rate, 5 year",netProfitMarginGrowthRate5Year,-16.29
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearCAGR,-17.72
"Total Debt, 5 Year CAGR",totalDebt5YearCAGR,-2.59
