displayName,key,value
Market Cap,marketCap,64131.76
52 week Low Date,52WeekLowDate,2025-03-12T00:00:00
Price - 1 Day % Change,price1DayPercentChange,-1.37
Relative (S&P500) price percent change - 13 week,relativePricePercentChange13Week,-24.55
Avg trading volume last 10 days,avgTradingVolumeLast10Days,5.93
Price - 13 week price percent change,price13WeekPricePercentChange,-17.34
Price - 52 week price percent change,price52WeekPricePercentChange,-46.49
Avg Trading Volume Last 3 months,avgTradingVolumeLast3months,306.50
Price - 5 Day % Change,price5DayPercentChange,-2.54
Price % Change Month To Date,pricePercentChangeMonthToDate,-1.68
Relative (S&P500) price percent change - 04 week,relativePricePercentChange-04week,-4.18
52 week High Date,52WeekHighDate,2024-06-19T00:00:00
Price - 26 week price percent change,price26WeekPricePercentChange,-19.54
PDATE,PDATE,2025-06-05T00:00:00
Price - YTD price percent change,priceYTDPricePercentChange,-16.35
Relative (S&P500) price percent change - 52 week,relativePricePercentChange52Week,-51.13
NPRICE,NPRICE,803.20
Relative (S&P500) price percent change - 26 week,relativePricePercentChange26Week,-19.22
52 week Low,52WeekLow,606.00
52 week High,52WeekHigh,1550.00
Beta,beta,1.69
Relative (S&P500) price percent change - Year to Date,relativePricePercentChangeYearToDate,-19.74
