tickerId,companyName,remarks,boardMeetDate,purpose
S0003032,Infosys,,2025-04-17,Audited Results & Final Dividend
S0003032,Infosys,,2025-01-16,Quarterly Results
S0003032,Infosys,,2024-10-17,Quarterly Results & Dividend
S0003032,Infosys,,2024-07-18,Quarterly Results
S0003032,Infosys,,2024-04-18,Audited Results & Final Dividend
S0003032,Infosys,,2024-01-11,Quarterly Results
S0003032,Infosys,,2023-10-12,Quarterly Results & Interim Dividend
S0003032,Infosys,,2023-07-20,Quarterly Results
S0003032,Infosys,,2023-04-13,Audited Results & Final Dividend
S0003032,Infosys,,2023-01-12,Quarterly Results
S0003032,Infosys,,2022-10-13,"Qtr Results, Interim Dividend & Buy Back"
S0003032,Infosys,,2022-07-24,Quarterly Results
S0003032,Infosys,,2022-04-13,Audited Results & Final Dividend
S0003032,Infosys,,2022-01-12,Quarterly Results
S0003032,Infosys,,2021-10-13,Quarterly Results & Interim Dividend
S0003032,Infosys,,2021-07-14,Quarterly Results
S0003032,Infosys,,2021-04-14,"Audited Results, F. Dividend & Buy Back"
S0003032,Infosys,,2021-01-13,Quarterly Results
