displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash Equivalents ,CashEquivalents,19565.00,,,2021,Annual
Short Term Investments ,ShortTermInvestments,6987.00,,,2021,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,26552.00,,,2021,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,27582.00,,,2021,Annual
Total Receivables Net ,TotalReceivablesNet,29832.00,,,2021,Annual
Prepaid Expenses ,PrepaidExpenses,3247.00,,,2021,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,1102.00,,,2021,Annual
Total Current Assets ,TotalCurrentAssets,60733.00,,,2021,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,33508.00,,,2021,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-15091,,,2021,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,18417.00,,,2021,Annual
Goodwill Net ,GoodwillNet,6079.00,,,2021,Annual
Intangibles Net ,IntangiblesNet,2072.00,,,2021,Annual
Long Term Investments ,LongTermInvestments,11863.00,,,2021,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,7142.00,,,2021,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,2080.00,,,2021,Annual
Total Assets ,TotalAssets,108386.00,,,2021,Annual
Accounts Payable ,AccountsPayable,2645.00,,,2021,Annual
Accrued Expenses ,AccruedExpenses,10514.00,,,2021,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,0.00,,,2021,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,738.00,,,2021,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,9968.00,,,2021,Annual
Total Current Liabilities ,TotalCurrentLiabilities,23865.00,,,2021,Annual
Capital Lease Obligations ,CapitalLeaseObligations,4587.00,,,2021,Annual
Total Long Term Debt ,TotalLongTermDebt,4587.00,,,2021,Annual
Total Debt ,TotalDebt,5325.00,,,2021,Annual
Deferred Income Tax ,DeferredIncomeTax,875.00,,,2021,Annual
Minority Interest ,MinorityInterest,431.00,,,2021,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,2277.00,,,2021,Annual
Total Liabilities ,TotalLiabilities,32035.00,,,2021,Annual
Common Stock Total ,CommonStockTotal,2124.00,,,2021,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,993.00,,,2021,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),71893.00,,,2021,Annual
Other Equity Total ,OtherEquityTotal,1341.00,,,2021,Annual
Total Equity ,TotalEquity,76351.00,,,2021,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,108386.00,,,2021,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,424.51,,,2021,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,160.65,,,2021,Annual
period Length ,periodLength,0.00,,,2021,Annual
