displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,16639.00,,,2020,Annual
Depreciation/ Depletion ,Depreciation/Depletion,2893.00,,,2020,Annual
Non- Cash Items ,Non-CashItems,5513.00,,,2020,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-6488,,,2020,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,18557.00,,,2020,Annual
Capital Expenditures ,CapitalExpenditures,-3307,,,2020,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,1514.00,,,2020,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-1793,,,2020,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-33,,,2020,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-9515,,,2020,Annual
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,-7472,,,2020,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,-571,,,2020,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-17591,,,2020,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,-92,,,2020,Annual
Net Changein Cash ,NetChangeinCash,-919,,,2020,Annual
Cash Taxes Paid ,CashTaxesPaid,4550.00,,,2020,Annual
period Length ,periodLength,12,,,2020,Annual
period Type ,periodType,Months,,,2020,Annual
