displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,6374.00,,,2025,Interim
Depreciation/ Depletion ,Depreciation/Depletion,1149.00,,,2025,Interim
Non- Cash Items ,Non-CashItems,2572.00,,,2025,Interim
Changesin Working Capital ,ChangesinWorkingCapital,-485,,,2025,Interim
Cashfrom Operating Activities ,CashfromOperatingActivities,9610.00,,,2025,Interim
Capital Expenditures ,CapitalExpenditures,-455,,,2025,Interim
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,4869.00,,,2025,Interim
Cashfrom Investing Activities ,CashfromInvestingActivities,4414.00,,,2025,Interim
Financing Cash Flow Items ,FinancingCashFlowItems,-118,,,2025,Interim
Total Cash Dividends Paid ,TotalCashDividendsPaid,0.00,,,2025,Interim
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,3.00,,,2025,Interim
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,-576,,,2025,Interim
Cashfrom Financing Activities ,CashfromFinancingActivities,-691,,,2025,Interim
Foreign Exchange Effects ,ForeignExchangeEffects,-62,,,2025,Interim
Net Changein Cash ,NetChangeinCash,13271.00,,,2025,Interim
Cash Taxes Paid ,CashTaxesPaid,-841,,,2025,Interim
period Length ,periodLength,3,,,2025,Interim
period Type ,periodType,Months,,,2025,Interim
