displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,146767.00,,,2023,Annual
Total Revenue ,TotalRevenue,146767.00,,,2023,Annual
Costof Revenue Total ,CostofRevenueTotal,102353.00,,,2023,Annual
Gross Profit ,GrossProfit,44414.00,,,2023,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,13226.00,,,2023,Annual
Unusual Expense( Income) ,UnusualExpense(Income),283.00,,,2023,Annual
Total Operating Expense ,TotalOperatingExpense,115862.00,,,2023,Annual
Operating Income ,OperatingIncome,30905.00,,,2023,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,2096.00,,,2023,Annual
Other Net ,OtherNet,321.00,,,2023,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,33322.00,,,2023,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,9214.00,,,2023,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,24108.00,,,2023,Annual
Minority Interest ,MinorityInterest,-13,,,2023,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,24095.00,,,2023,Annual
Net Income ,NetIncome,24095.00,,,2023,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,24095.00,,,2023,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,24095.00,,,2023,Annual
Diluted Net Income ,DilutedNetIncome,24095.00,,,2023,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,418.77,,,2023,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,57.54,,,2023,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,34.00,,,2023,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,58.03,,,2023,Annual
period Length ,periodLength,12,,,2023,Annual
period Type ,periodType,Months,,,2023,Annual
