displayName,key,value
Earnings before taxes - most recent fiscal year,earningsBeforTaxesMostRecentFiscalYear,376080.00
Revenue - trailing 12 month,revenueTrailing12Month),1629910.00
Net Income available to common - most recent fiscal year,netIncomeAvailableToCommonMostRecentFiscalYear,267130.00
EBITD - trailing 12 month,eBITDTrailing12Month,392850.00
Net Income available to common - trailing 12 months,netIncomeAvailableToCommonTrailing12Months,267130.00
"Earnings per Share, Normalized, Excluding Extraordinary Items, Avg. Diluted Shares Outstanding, TTM",earningsPerShareNormalizedExcludingExtraordinaryItemsAvgDilutedSharesOutstandingTTM,64.43
Revenue - most recent fiscal year,revenueMostRecentFiscalYear,1629900.00
"Net Income Available to Common, Normalized - most recent fiscal year",netIncomeAvailabletoCommonNormalizedMostRecentFiscalYear,267471.40
Earnings before taxes - trailing 12 month,earningsBeforeTaxesTrailing12Month,376070.00
Earnings before taxes Normalized - most recent fiscal year,earningsBeforeTaxesNormalizedMostRecentFiscalYear,376560.00
EBITD - most recent fiscal year,eBITDMostRecentFiscalYear,393050.00
