displayName,key,value
Operating margin - trailing 12 month,operatingMarginTrailing12Month,21.12
Gross Margin - 5 year average,grossMargin5YearAverage,31.36
Operating margin - 1st historical fiscal year,operatingMargin1stHistoricalFiscalYear),21.12
Operating Margin - 5 year average,operatingMargin5YearAverage,21.84
Net Profit Margin % - 1st historical fiscal year,netProfitMarginPercent1stHistoricalFiscalYear,16.41
Gross Margin - 1st historical fiscal year,grossMargin1stHistoricalFiscalYear,30.46
Net Profit Margin % - trailing 12 month,netProfitMarginPercentTrailing12Month,16.41
Net Profit Margin - 5 year average,netProfitMargin5YearAverage,17.31
Pretax Margin - 5 year average,pretaxMargin5YearAverage,23.87
"Free Operating Cash Flow/Revenue, TTM",freeOperatingCashFlowPerRevenueTTM,8.08
Pretax margin - 1st historical fiscal year,pretaxMargin1stHistoricalFiscalYear,23.07
Pretax margin - trailing 12 month,pretaxMarginTrailing12Month,23.07
"Free Operating Cash Flow/Revenue, 5 Year Average",freeOperatingCashFlowPerRevenue5YearAverage,7.25
Gross Margin - trailing 12 month,grossMarginTrailing12Month,30.46
