displayName,key,value
Return on average equity - 5 year average,returnOnAverageEquity5YearAverage,29.94
Net Income/employee - trailing 12 month,netIncomePerEmployeeTrailing12Month,826694.00
Revenue/employee - most recent fiscal year,revenuePerEmployeeMostRecentFiscalYear,5086936.00
Return on investment - most recent fiscal year,returnOnInvestmentMostRecentFiscalYear,26.18
Return on average assets - most recent fiscal year,returnOnAverageAssetsMostRecenFiscalYear,18.66
Receivables turnover - most recent fiscal year,receivablesTurnoverMostRecentFiscalYear,3.69
Return on investment - trailing 12 month,returnOnInvestmentTrailing12Month,26.18
Return on average assets - trailing 12 month,returnOnAverageAssetsTrailing12Month,18.66
Inventory turnover - most recent fiscal year,inventoryTurnoverMostRecentFiscalYear,294.79
Inventory turnover - trailing 12 month,inventoryTurnoverTrailing12Month),
Revenue/employee - trailing 12 month,revenuePerEmployeeTrailing12Month,5037147.00
Return on average assets - 5 year average,returnOnAverageAssets5YearAverage,19.43
Net Income/employee - most recent fiscal year,netIncomePerEmployeeMostRecentFiscalYear,834870.40
Return on average equity - trailing 12 month,returnOnAverageEquityTrailing12Month,29.05
Receivables turnover - trailing 12 month,receivablesTurnoverTrailing12Month,3.69
Asset turnover - most recent fiscal year,assetTurnoverMostRecentFiscalYear,1.14
Asset turnover - trailing 12 month,assetTurnoverTrailing12Month,1.14
Return on average equity - most recent fiscal year,returnOnAverageEquityMostRecentFiscalYear),29.05
Return on investment - 5 year average,returnOnInvestment5YearAverage,26.88
