Age,CurrencyCode,Mean,High,Low,Median,StandardDeviation,SmartEstimate,NumEstimates
OneWeekAgo,INR,67,70,65,67,1,67,41
ThirtyDaysAgo,INR,67,71,65,67,1,67,41
SixtyDaysAgo,INR,71,78,68,70,2,70,39
NinetyDaysAgo,INR,72,78,68,71,2,71,40
OneWeekAgo,INR,73,79,70,73,2,73,41
ThirtyDaysAgo,INR,73,79,70,73,2,73,41
SixtyDaysAgo,INR,78,89,72,78,3,77,37
NinetyDaysAgo,INR,79,89,72,79,3,79,37
OneWeekAgo,INR,78,82,74,78,2,78,18
ThirtyDaysAgo,INR,78,82,74,78,2,78,17
SixtyDaysAgo,INR,84,85,82,84,1,83,2
NinetyDaysAgo,INR,85,85,85,85,0,85,2
