displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash ,Cash,982.01,,,2024,Interim
Cash Equivalents ,CashEquivalents,264.58,,,2024,Interim
Short Term Investments ,ShortTermInvestments,11881.62,,,2024,Interim
Cashand Short Term Investments ,CashandShortTermInvestments,13128.21,,,2024,Interim
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,13831.45,,,2024,Interim
Total Receivables Net ,TotalReceivablesNet,21728.77,,,2024,Interim
Total Inventory ,TotalInventory,121375.83,,,2024,Interim
Prepaid Expenses ,PrepaidExpenses,109.91,,,2024,Interim
Other Current Assets Total ,OtherCurrentAssetsTotal,2105.55,,,2024,Interim
Total Current Assets ,TotalCurrentAssets,158448.27,,,2024,Interim
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,275162.05,,,2024,Interim
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-83002.53,,,2024,Interim
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,249476.38,,,2024,Interim
Goodwill Net ,GoodwillNet,1.04,,,2024,Interim
Intangibles Net ,IntangiblesNet,7552.79,,,2024,Interim
Long Term Investments ,LongTermInvestments,55162.04,,,2024,Interim
Note Receivable- Long Term ,NoteReceivable-LongTerm,8208.48,,,2024,Interim
Other Long Term Assets Total ,OtherLongTermAssetsTotal,3513.00,,,2024,Interim
Total Assets ,TotalAssets,482362.00,,,2024,Interim
Accounts Payable ,AccountsPayable,59454.10,,,2024,Interim
Accrued Expenses ,AccruedExpenses,2689.97,,,2024,Interim
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,59393.75,,,2024,Interim
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,20108.92,,,2024,Interim
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,74757.19,,,2024,Interim
Total Current Liabilities ,TotalCurrentLiabilities,216403.93,,,2024,Interim
Long Term Debt ,LongTermDebt,46792.90,,,2024,Interim
Capital Lease Obligations ,CapitalLeaseObligations,6331.99,,,2024,Interim
Total Long Term Debt ,TotalLongTermDebt,53124.89,,,2024,Interim
Total Debt ,TotalDebt,132627.56,,,2024,Interim
Deferred Income Tax ,DeferredIncomeTax,18960.70,,,2024,Interim
Minority Interest ,MinorityInterest,4746.71,,,2024,Interim
Other Liabilities Total ,OtherLiabilitiesTotal,5709.50,,,2024,Interim
Total Liabilities ,TotalLiabilities,298945.73,,,2024,Interim
Common Stock Total ,CommonStockTotal,14121.24,,,2024,Interim
Additional Paid- In Capital ,AdditionalPaid-InCapital,79.94,,,2024,Interim
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),139613.17,,,2024,Interim
Treasury Stock- Common ,TreasuryStock-Common,-349.68,,,2024,Interim
Unrealized Gain( Loss) ,UnrealizedGain(Loss),28615.77,,,2024,Interim
Other Equity Total ,OtherEquityTotal,1335.83,,,2024,Interim
Total Equity ,TotalEquity,183416.27,,,2024,Interim
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,482362.00,,,2024,Interim
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,1377.16,,,2024,Interim
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,127.70,,,2024,Interim
period Length ,periodLength,0.00,,,2024,Interim
