displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,15037.69,,,2023,Annual
Depreciation/ Depletion ,Depreciation/Depletion,13181.05,,,2023,Annual
Non- Cash Items ,Non-CashItems,8583.82,,,2023,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-7158.84,,,2023,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,29643.72,,,2023,Annual
Capital Expenditures ,CapitalExpenditures,-32600.12,,,2023,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,4570.56,,,2023,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-28029.56,,,2023,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-7011.58,,,2023,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-3305.68,,,2023,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,8522.86,,,2023,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-1794.40,,,2023,Annual
Net Changein Cash ,NetChangeinCash,-180.24,,,2023,Annual
Cash Interest Paid ,CashInterestPaid,7009.51,,,2023,Annual
Cash Taxes Paid ,CashTaxesPaid,1477.72,,,2023,Annual
period Length ,periodLength,12,,,2023,Annual
period Type ,periodType,Months,,,2023,Annual
