displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Revenue ,Revenue,951409.94,,,2023,Annual
Total Revenue ,TotalRevenue,951409.94,,,2023,Annual
Costof Revenue Total ,CostofRevenueTotal,886501.41,,,2023,Annual
Gross Profit ,GrossProfit,64908.53,,,2023,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,23469.06,,,2023,Annual
Research Development ,ResearchDevelopment,1828.81,,,2023,Annual
Depreciation/ Amortization ,Depreciation/Amortization,13126.52,,,2023,Annual
Unusual Expense( Income) ,UnusualExpense(Income),737.86,,,2023,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,642.67,,,2023,Annual
Total Operating Expense ,TotalOperatingExpense,926306.33,,,2023,Annual
Operating Income ,OperatingIncome,25103.61,,,2023,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-8806.92,,,2023,Annual
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,-66.12,,,2023,Annual
Other Net ,OtherNet,-1192.88,,,2023,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,15037.69,,,2023,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,3333.43,,,2023,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,11704.26,,,2023,Annual
Minority Interest ,MinorityInterest,-1912.14,,,2023,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,9792.12,,,2023,Annual
Net Income ,NetIncome,9792.12,,,2023,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,9792.12,,,2023,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,9792.12,,,2023,Annual
Diluted Net Income ,DilutedNetIncome,9792.12,,,2023,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,1377.16,,,2023,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,7.11,,,2023,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,3.00,,,2023,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,7.56,,,2023,Annual
period Length ,periodLength,12,,,2023,Annual
period Type ,periodType,Months,,,2023,Annual
