displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Revenue ,Revenue,219864.34,,,2025,Interim
Total Revenue ,TotalRevenue,219864.34,,,2025,Interim
Costof Revenue Total ,CostofRevenueTotal,194262.09,,,2025,Interim
Gross Profit ,GrossProfit,25602.25,,,2025,Interim
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,2816.98,,,2025,Interim
Depreciation/ Amortization ,Depreciation/Amortization,4102.82,,,2025,Interim
Unusual Expense( Income) ,UnusualExpense(Income),238.66,,,2025,Interim
Other Operating Expenses Total ,OtherOperatingExpensesTotal,12626.75,,,2025,Interim
Total Operating Expense ,TotalOperatingExpense,214047.30,,,2025,Interim
Operating Income ,OperatingIncome,5817.04,,,2025,Interim
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-1508.65,,,2025,Interim
Other Net ,OtherNet,532.65,,,2025,Interim
Net Income Before Taxes ,NetIncomeBeforeTaxes,4841.04,,,2025,Interim
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,1118.41,,,2025,Interim
Net Income After Taxes ,NetIncomeAfterTaxes,3722.63,,,2025,Interim
Minority Interest ,MinorityInterest,-194.14,,,2025,Interim
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,3528.49,,,2025,Interim
Net Income ,NetIncome,3528.49,,,2025,Interim
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,3528.49,,,2025,Interim
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,3528.49,,,2025,Interim
Diluted Net Income ,DilutedNetIncome,3528.49,,,2025,Interim
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,1378.32,,,2025,Interim
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,2.56,,,2025,Interim
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,0.00,,,2025,Interim
Diluted Normalized EPS ,DilutedNormalizedEPS,2.69,,,2025,Interim
period Length ,periodLength,3,,,2025,Interim
period Type ,periodType,Months,,,2025,Interim
