displayName,key,value
Operating margin - trailing 12 month,operatingMarginTrailing12Month,2.45
Gross Margin - 5 year average,grossMargin5YearAverage,10.50
Operating margin - 1st historical fiscal year,operatingMargin1stHistoricalFiscalYear),2.45
Operating Margin - 5 year average,operatingMargin5YearAverage,4.41
Net Profit Margin % - 1st historical fiscal year,netProfitMarginPercent1stHistoricalFiscalYear,1.60
Gross Margin - 1st historical fiscal year,grossMargin1stHistoricalFiscalYear,11.79
Net Profit Margin % - trailing 12 month,netProfitMarginPercentTrailing12Month,1.60
Net Profit Margin - 5 year average,netProfitMargin5YearAverage,2.94
Pretax Margin - 5 year average,pretaxMargin5YearAverage,3.91
"Free Operating Cash Flow/Revenue, TTM",freeOperatingCashFlowPerRevenueTTM,-1.13
Pretax margin - 1st historical fiscal year,pretaxMargin1stHistoricalFiscalYear,1.99
Pretax margin - trailing 12 month,pretaxMarginTrailing12Month,1.99
"Free Operating Cash Flow/Revenue, 5 Year Average",freeOperatingCashFlowPerRevenue5YearAverage,0.41
Gross Margin - trailing 12 month,grossMarginTrailing12Month,11.79
