displayName,key,value
Dividend Per Share - 5 year average,dividendperShare5YearAverage,6.88
Cash Flow per share  - trailing 12 month,cashFlowPerShareTrailing12Month,22.06
Free Cash Flow per share - trailing 12 month,freeCashFlowpersharetrailing12month,
Cash Flow per share - most recent fiscal year,cashflowPerShareMostRecentFiscalYear,22.19
Book value (tangible) per share - most recent quarter,bookValueTangibleperSharemostRecentQuarter,129.49
Cash per share - most recent quarter,cashPerShareMostRecentQuarter,11.57
EPS including extraordinary items - trailing 12 month,ePSIncludingExtraOrdinaryItemsTrailing12Month,9.88
EPS including extraordinary items - most recent fiscal year,ePSIncludingExtraordinaryItemsMostRecentFiscalYear,9.87
EBITD per share - trailing 12 month,eBITDPerShareTrailing12Month,26.13
Revenue/share - trailing 12 month,rRevenuePerShareTrailing12onth,620.26
EPS excluding extraordinary items - trailing 12 month,eEPSExcludingExtraordinaryIitemsTrailing12onth,9.88
EPS Basic excluding extraordinary items - most recent fiscal year,ePSBasicExcludingExtraordinaryItemsMostRecentFiscalYear,9.87
EPS Basic excluding extraordinary items - trailing 12 month,ePSBasicExcludingExtraordinaryItemsItrailing12Month,9.88
Book value per share - most recent fiscal year,bookValuePerShare MostRecentFiscalYear,135.41
Book value per share - most recent quarter,bookValuePerShareMostRecentQuarter,135.41
Dividend per share - most recent fiscal year,dividendPerShare MostRecentFiscalYear,3.00
Revenue/share - most recent fiscal year,revenuePerShareMostRecentFiscalYear,623.77
EPS Normalized - most recent fiscal year,ePSNormalizedMostRecentFiscalYear,8.92
Book value (tangible) per share - most recent fiscal year,bookValuePerShareMostRecentFiscalYear,129.49
Dividends per share - trailing 12 month,dividendsPerShareTrailing12Month,3.00
EPS excluding extraordinary items - most recent fiscal year,eEPSExcludingExtraordinaryItemsMmostRecentFiscal yea,9.87
Cash per share - most recent fiscal year,cashPerShareMostRecentFiscalYear,11.57
