displayName,key,value
Market Cap,marketCap,198756.43
52 week Low Date,52WeekLowDate,2025-03-03T00:00:00
Price - 1 Day % Change,price1DayPercentChange,-1.02
Relative (S&P500) price percent change - 13 week,relativePricePercentChange13Week,1.00
Avg trading volume last 10 days,avgTradingVolumeLast10Days,9.79
Price - 13 week price percent change,price13WeekPricePercentChange,10.65
Price - 52 week price percent change,price52WeekPricePercentChange,-12.57
Avg Trading Volume Last 3 months,avgTradingVolumeLast3months,288.31
Price - 5 Day % Change,price5DayPercentChange,-3.10
Price % Change Month To Date,pricePercentChangeMonthToDate,-1.92
Relative (S&P500) price percent change - 04 week,relativePricePercentChange-04week,-2.58
52 week High Date,52WeekHighDate,2024-07-30T00:00:00
Price - 26 week price percent change,price26WeekPricePercentChange,-0.14
PDATE,PDATE,2025-06-05T00:00:00
Price - YTD price percent change,priceYTDPricePercentChange,2.07
Relative (S&P500) price percent change - 52 week,relativePricePercentChange52Week,-20.14
NPRICE,NPRICE,139.24
Relative (S&P500) price percent change - 26 week,relativePricePercentChange26Week,0.25
52 week Low,52WeekLow,110.72
52 week High,52WeekHigh,185.97
Beta,beta,1.20
Relative (S&P500) price percent change - Year to Date,relativePricePercentChangeYearToDate,-2.07
