displayName,key,value
"P/E excluding extraordinary items, most recent fiscal year",pPerEExcludingExtraordinaryItemsMostRecentFiscalYear,14.11
"Current Dividend Yield - Common Stock Primary Issue, LTM",currentDividendYieldCommonStockPrimaryIssueLTM,2.15
Price to Book - most recent fiscal year,priceToBookMostRecentFiscalYear,1.03
Price to Free Cash Flow per Share - trailing 12 months,priceToFreeCashFlowPerShareTrailing12Months,
P/E Basic excluding extraordinary items - TTM,pPerEBasicExcludingExtraordinaryItemsTTM,12.93
P/E including extraordinary items - TTM,pPerEIncludingExtraordinaryItemsTTM,14.09
"P/E excluding extraordinary items low, trailing 12 months",pPerEExcludingExtraordinaryItemsLowTrailing12Months,3.23
Price to Tangible Book - most fiscal year,priceToTangibleBookMostFiscalYear,1.10
Dividend Yield - 5 Year Average,dividendYield5YearAverage,6.69
Price to sales - most recent fiscal year,priceToSalesMostRecentFiscalYear,0.23
"Net Debt, LFI",netDebtLFI,1363373.00
Price to Tangible Book - most recent quarter,priceToTangibleBookMostRecentQuarter,1.10
Price to Book - most recent quarter,priceToBookMostRecentQuarter,1.03
Dividend Yield - indicated annual dividend divided by closing price,dividendYieldIndicatedAnnualDividendDividedByClosingprice,8.62
Price to Cash Flow per share - trailing 12 month,priceToCashFlowPerShareTrailing12Month,6.43
Peg Ratio,pegRatio,-0.76
is ForCasted,isForCasted,true
Price to Free Cash Flow per Share - most recent fiscal year,priceToFreeCashFlowPerShareMostRecentFiscalYear,
"P/E Normalized, most recent fiscal year",pPerENormalizedMostRecentFiscalYear,15.61
"P/E excluding extraordinary items high, trailing 12 months",pPerExcludingExtraordinaryItemsHighTrailing12Months,21.60
"P/E excluding extraordinary items, most recent fiscal year quarter",pPerEExcludingExtraordinaryItemsMostRecentFiscalYearQuarter,14.09
Price to sales - trailing 12 month,priceToSalesTrailing12Month,0.23
"Net Debt, LFY",netDebtLFY,1363373.00
