Date,50 DMA
2024-06-06,403.34
2024-06-07,403.67
2024-06-10,403.9
2024-06-11,403.98
2024-06-12,404.02
2024-06-13,404.0
2024-06-14,404.01
2024-06-18,403.92
2024-06-19,403.66
2024-06-20,403.39
2024-06-21,402.99
2024-06-24,402.75
2024-06-25,402.52
2024-06-26,402.32
2024-06-27,402.19
2024-06-28,402.03
2024-07-01,402.04
2024-07-02,401.91
2024-07-03,401.9
2024-07-04,401.91
2024-07-05,402.09
2024-07-08,402.63
2024-07-09,403.48
2024-07-10,404.25
2024-07-11,405.26
2024-07-12,406.24
2024-07-15,407.34
2024-07-16,408.48
2024-07-18,409.75
2024-07-19,411.13
2024-07-22,412.15
2024-07-23,414.09
2024-07-24,416.01
2024-07-25,417.71
2024-07-26,419.79
2024-07-29,421.56
2024-07-30,423.04
2024-07-31,424.66
2024-08-01,426.15
2024-08-02,427.42
2024-08-05,428.52
2024-08-06,429.6
2024-08-07,430.86
2024-08-08,432.15
2024-08-09,433.43
2024-08-12,434.62
2024-08-13,435.59
2024-08-14,436.6
2024-08-16,437.95
2024-08-19,439.21
2024-08-20,440.32
2024-08-21,441.64
2024-08-22,442.86
2024-08-23,444.09
2024-08-26,445.26
2024-08-27,446.21
2024-08-28,446.99
2024-08-29,448.03
2024-08-30,448.91
2024-09-02,450.05
2024-09-03,451.13
2024-09-04,452.05
2024-09-05,453.12
2024-09-06,453.79
2024-09-09,454.81
2024-09-10,455.85
2024-09-11,456.88
2024-09-12,458.06
2024-09-13,458.99
2024-09-16,459.78
2024-09-17,460.41
2024-09-18,461.01
2024-09-19,461.61
2024-09-20,462.42
2024-09-23,463.29
2024-09-24,464.06
2024-09-25,464.89
2024-09-26,465.87
2024-09-27,466.82
2024-09-30,467.56
2024-10-01,468.2
2024-10-03,468.69
2024-10-04,468.82
2024-10-07,469.19
2024-10-08,469.46
2024-10-09,469.13
2024-10-10,468.82
2024-10-11,468.38
2024-10-14,468.28
2024-10-15,468.24
2024-10-16,468.01
2024-10-17,467.63
2024-10-18,467.18
2024-10-21,466.64
2024-10-22,466.05
2024-10-23,465.43
2024-10-24,464.52
2024-10-25,464.04
2024-10-28,463.64
2024-10-29,463.39
2024-10-30,463.29
2024-10-31,463.09
2024-11-01,462.95
2024-11-04,462.61
2024-11-05,462.12
2024-11-06,461.69
2024-11-07,461.15
2024-11-08,460.64
2024-11-11,460.11
2024-11-12,459.45
2024-11-13,458.79
2024-11-14,457.92
2024-11-18,457.12
2024-11-19,456.37
2024-11-21,455.28
2024-11-22,454.87
2024-11-25,454.56
2024-11-26,454.27
2024-11-27,453.99
2024-11-28,453.64
2024-11-29,453.38
2024-12-02,453.14
2024-12-03,452.74
2024-12-04,452.16
2024-12-05,451.61
2024-12-06,451.22
2024-12-09,450.62
2024-12-10,450.06
2024-12-11,449.51
2024-12-12,448.82
2024-12-13,448.49
2024-12-16,448.19
2024-12-17,447.87
2024-12-18,447.6
2024-12-19,447.2
2024-12-20,446.74
2024-12-23,446.66
2024-12-24,446.73
2024-12-26,446.74
2024-12-27,446.82
2024-12-30,446.83
2024-12-31,447.09
2025-01-01,447.35
2025-01-02,447.78
2025-01-03,447.92
2025-01-06,447.72
2025-01-07,447.46
2025-01-08,447.54
2025-01-09,447.64
2025-01-10,447.53
2025-01-13,447.2
2025-01-14,446.78
2025-01-15,446.41
2025-01-16,445.88
2025-01-17,445.66
2025-01-20,445.35
2025-01-21,445.04
2025-01-22,444.73
2025-01-23,444.55
2025-01-24,444.43
2025-01-27,444.26
2025-01-28,443.92
2025-01-29,443.5
2025-01-30,443.22
2025-01-31,443.38
2025-02-01,444.14
2025-02-03,444.54
2025-02-04,444.95
2025-02-05,445.08
2025-02-06,444.92
2025-02-07,444.37
2025-02-10,443.7
2025-02-11,442.7
2025-02-12,441.41
2025-02-13,440.17
2025-02-14,439.0
2025-02-17,437.81
2025-02-18,436.53
2025-02-19,435.35
2025-02-20,434.04
2025-02-21,432.74
2025-02-24,431.53
2025-02-25,430.49
2025-02-27,429.35
2025-02-28,428.01
2025-03-03,426.81
2025-03-04,425.55
2025-03-05,424.75
2025-03-06,424.0
2025-03-07,423.22
2025-03-10,422.5
2025-03-11,421.86
2025-03-12,421.49
2025-03-13,421.12
2025-03-17,420.6
2025-03-18,420.15
2025-03-19,419.48
2025-03-20,418.87
2025-03-21,418.35
2025-03-24,418.06
2025-03-25,417.73
2025-03-26,417.33
2025-03-27,417.02
2025-03-28,416.73
2025-04-01,416.34
2025-04-02,416.05
2025-04-03,415.79
2025-04-04,415.55
2025-04-07,415.18
2025-04-08,415.08
2025-04-09,415.12
2025-04-11,415.38
2025-04-15,415.57
2025-04-16,415.92
2025-04-17,416.37
2025-04-21,416.62
2025-04-22,417.29
2025-04-23,417.82
2025-04-24,418.3
2025-04-25,418.67
2025-04-28,419.07
2025-04-29,419.34
2025-04-30,419.59
2025-05-02,420.01
2025-05-05,420.67
2025-05-06,421.26
2025-05-07,421.65
2025-05-08,422.0
2025-05-09,422.06
2025-05-12,422.59
2025-05-13,422.79
2025-05-14,423.04
2025-05-15,423.42
2025-05-16,423.9
2025-05-19,424.35
2025-05-20,424.76
2025-05-21,425.09
2025-05-22,425.13
2025-05-23,425.56
2025-05-26,426.24
2025-05-27,426.54
2025-05-28,426.29
2025-05-29,426.0
2025-05-30,425.69
2025-06-02,425.44
2025-06-03,425.1
2025-06-04,424.79
2025-06-05,424.56
2025-06-06,424.43
