tickerId,companyName,remarks,dateOfAnnouncement,recordDate,agmDate,purpose
S0003028,Itc,,2025-05-22,,2025-07-25,AGM
S0003028,Itc,,2025-03-11,,2025-04-12,POM
S0003028,Itc,,2024-11-13,,2024-12-18,POM
S0003028,Itc,,2024-08-07,,2024-09-11,POM
S0003028,Itc,,2024-05-23,,2024-07-26,AGM
S0003028,Itc,,2024-02-14,,2024-03-21,POM
S0003028,Itc,,2023-11-17,,2023-12-23,POM
S0003028,Itc,,2023-05-18,,2023-08-11,AGM
S0003028,Itc,,2023-02-09,,2023-03-16,POM
S0003028,Itc,,2022-05-18,,2022-07-20,AGM
S0003028,Itc,,2021-06-01,,2021-08-11,AGM
