displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash Equivalents ,CashEquivalents,4012.36,,,2025,Annual
Short Term Investments ,ShortTermInvestments,17943.75,,,2025,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,21956.11,,,2025,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,4719.67,,,2025,Annual
Total Receivables Net ,TotalReceivablesNet,4729.18,,,2025,Annual
Total Inventory ,TotalInventory,15637.56,,,2025,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,1570.43,,,2025,Annual
Total Current Assets ,TotalCurrentAssets,43893.28,,,2025,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,19098.38,,,2025,Annual
Goodwill Net ,GoodwillNet,896.93,,,2025,Annual
Intangibles Net ,IntangiblesNet,2728.05,,,2025,Annual
Long Term Investments ,LongTermInvestments,20312.29,,,2025,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,57.84,,,2025,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,1103.91,,,2025,Annual
Total Assets ,TotalAssets,88090.68,,,2025,Annual
Accounts Payable ,AccountsPayable,4807.30,,,2025,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,147.33,,,2025,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,9379.48,,,2025,Annual
Total Current Liabilities ,TotalCurrentLiabilities,14334.11,,,2025,Annual
Long Term Debt ,LongTermDebt,0.00,,,2025,Annual
Capital Lease Obligations ,CapitalLeaseObligations,137.21,,,2025,Annual
Total Long Term Debt ,TotalLongTermDebt,137.21,,,2025,Annual
Total Debt ,TotalDebt,284.54,,,2025,Annual
Deferred Income Tax ,DeferredIncomeTax,2582.46,,,2025,Annual
Minority Interest ,MinorityInterest,367.89,,,2025,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,638.96,,,2025,Annual
Total Liabilities ,TotalLiabilities,18060.63,,,2025,Annual
Common Stock Total ,CommonStockTotal,1251.41,,,2025,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),68778.64,,,2025,Annual
Total Equity ,TotalEquity,70030.05,,,2025,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,88090.68,,,2025,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,1251.41,,,2025,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,53.06,,,2025,Annual
period Length ,periodLength,0.00,,,2025,Annual
