displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,25915.12,,,2023,Annual
Depreciation/ Depletion ,Depreciation/Depletion,1809.01,,,2023,Annual
Non- Cash Items ,Non-CashItems,-1829.52,,,2023,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-7017.06,,,2023,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,18877.55,,,2023,Annual
Capital Expenditures ,CapitalExpenditures,-2742.99,,,2023,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,-2989.30,,,2023,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-5732.29,,,2023,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-6.05,,,2023,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-15417.53,,,2023,Annual
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,2477.39,,,2023,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,-59.84,,,2023,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-13006.03,,,2023,Annual
Net Changein Cash ,NetChangeinCash,139.23,,,2023,Annual
Cash Interest Paid ,CashInterestPaid,41.42,,,2023,Annual
Cash Taxes Paid ,CashTaxesPaid,6250.24,,,2023,Annual
period Length ,periodLength,12,,,2023,Annual
period Type ,periodType,Months,,,2023,Annual
