displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,76518.21,,,2023,Annual
Total Revenue ,TotalRevenue,76518.21,,,2023,Annual
Costof Revenue Total ,CostofRevenueTotal,36055.27,,,2023,Annual
Gross Profit ,GrossProfit,40462.94,,,2023,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,13423.76,,,2023,Annual
Research Development ,ResearchDevelopment,48.37,,,2023,Annual
Depreciation/ Amortization ,Depreciation/Amortization,1799.13,,,2023,Annual
Interest Exp( Inc) Net- Operating Total ,InterestExp(Inc)Net-OperatingTotal,12.38,,,2023,Annual
Unusual Expense( Income) ,UnusualExpense(Income),-71.45,,,2023,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,1317.17,,,2023,Annual
Total Operating Expense ,TotalOperatingExpense,52584.63,,,2023,Annual
Operating Income ,OperatingIncome,23933.58,,,2023,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,1847.86,,,2023,Annual
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,-6.21,,,2023,Annual
Other Net ,OtherNet,139.89,,,2023,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,25915.12,,,2023,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,6438.40,,,2023,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,19476.72,,,2023,Annual
Minority Interest ,MinorityInterest,-285.06,,,2023,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,19191.66,,,2023,Annual
Net Income ,NetIncome,19191.66,,,2023,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,19191.66,,,2023,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,19191.66,,,2023,Annual
Diluted Net Income ,DilutedNetIncome,19191.66,,,2023,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,1241.43,,,2023,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,15.46,,,2023,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,12.75,,,2023,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,15.42,,,2023,Annual
period Length ,periodLength,12,,,2023,Annual
period Type ,periodType,Months,,,2023,Annual
