displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,20029.60,,,2025,Interim
Total Revenue ,TotalRevenue,20029.60,,,2025,Interim
Costof Revenue Total ,CostofRevenueTotal,8856.00,,,2025,Interim
Gross Profit ,GrossProfit,11173.60,,,2025,Interim
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,1672.94,,,2025,Interim
Depreciation/ Amortization ,Depreciation/Amortization,498.57,,,2025,Interim
Unusual Expense( Income) ,UnusualExpense(Income),3.04,,,2025,Interim
Other Operating Expenses Total ,OtherOperatingExpensesTotal,2752.25,,,2025,Interim
Total Operating Expense ,TotalOperatingExpense,13782.80,,,2025,Interim
Operating Income ,OperatingIncome,6246.80,,,2025,Interim
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-3.63,,,2025,Interim
Other Net ,OtherNet,694.88,,,2025,Interim
Net Income Before Taxes ,NetIncomeBeforeTaxes,6938.05,,,2025,Interim
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,1761.06,,,2025,Interim
Net Income After Taxes ,NetIncomeAfterTaxes,5176.99,,,2025,Interim
Minority Interest ,MinorityInterest,-85.40,,,2025,Interim
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,5091.59,,,2025,Interim
Net Income ,NetIncome,5091.59,,,2025,Interim
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,5091.59,,,2025,Interim
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,5091.59,,,2025,Interim
Diluted Net Income ,DilutedNetIncome,5091.59,,,2025,Interim
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,1251.00,,,2025,Interim
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,4.07,,,2025,Interim
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,0.00,,,2025,Interim
Diluted Normalized EPS ,DilutedNormalizedEPS,4.07,,,2025,Interim
period Length ,periodLength,3,,,2025,Interim
period Type ,periodType,Months,,,2025,Interim
