displayName,key,value
Earnings before taxes - most recent fiscal year,earningsBeforTaxesMostRecentFiscalYear,269269.40
Revenue - trailing 12 month,revenueTrailing12Month),830378.10
Net Income available to common - most recent fiscal year,netIncomeAvailableToCommonMostRecentFiscalYear,197306.20
EBITD - trailing 12 month,eBITDTrailing12Month,263914.80
Net Income available to common - trailing 12 months,netIncomeAvailableToCommonTrailing12Months,198905.80
"Earnings per Share, Normalized, Excluding Extraordinary Items, Avg. Diluted Shares Outstanding, TTM",earningsPerShareNormalizedExcludingExtraordinaryItemsAvgDilutedSharesOutstandingTTM,15.89
Revenue - most recent fiscal year,revenueMostRecentFiscalYear,816127.80
"Net Income Available to Common, Normalized - most recent fiscal year",netIncomeAvailabletoCommonNormalizedMostRecentFiscalYear,197306.20
Earnings before taxes - trailing 12 month,earningsBeforeTaxesTrailing12Month,271581.80
Earnings before taxes Normalized - most recent fiscal year,earningsBeforeTaxesNormalizedMostRecentFiscalYear,269269.40
EBITD - most recent fiscal year,eBITDMostRecentFiscalYear,262824.70
