displayName,key,value
Dividend Per Share - 5 year average,dividendperShare5YearAverage,12.62
Cash Flow per share  - trailing 12 month,cashFlowPerShareTrailing12Month,17.61
Free Cash Flow per share - trailing 12 month,freeCashFlowpersharetrailing12month,
Cash Flow per share - most recent fiscal year,cashflowPerShareMostRecentFiscalYear,17.56
Book value (tangible) per share - most recent quarter,bookValueTangibleperSharemostRecentQuarter,53.06
Cash per share - most recent quarter,cashPerShareMostRecentQuarter,17.55
EPS including extraordinary items - trailing 12 month,ePSIncludingExtraOrdinaryItemsTrailing12Month,27.75
EPS including extraordinary items - most recent fiscal year,ePSIncludingExtraordinaryItemsMostRecentFiscalYear,27.75
EBITD per share - trailing 12 month,eBITDPerShareTrailing12Month,21.08
Revenue/share - trailing 12 month,rRevenuePerShareTrailing12onth,66.33
EPS excluding extraordinary items - trailing 12 month,eEPSExcludingExtraordinaryIitemsTrailing12onth,15.89
EPS Basic excluding extraordinary items - most recent fiscal year,ePSBasicExcludingExtraordinaryItemsMostRecentFiscalYear,15.78
EPS Basic excluding extraordinary items - trailing 12 month,ePSBasicExcludingExtraordinaryItemsItrailing12Month,15.91
Book value per share - most recent fiscal year,bookValuePerShare MostRecentFiscalYear,55.96
Book value per share - most recent quarter,bookValuePerShareMostRecentQuarter,55.96
Dividend per share - most recent fiscal year,dividendPerShare MostRecentFiscalYear,14.35
Revenue/share - most recent fiscal year,revenuePerShareMostRecentFiscalYear,65.18
EPS Normalized - most recent fiscal year,ePSNormalizedMostRecentFiscalYear,15.76
Book value (tangible) per share - most recent fiscal year,bookValuePerShareMostRecentFiscalYear,53.06
Dividends per share - trailing 12 month,dividendsPerShareTrailing12Month,14.35
EPS excluding extraordinary items - most recent fiscal year,eEPSExcludingExtraordinaryItemsMmostRecentFiscal yea,15.76
Cash per share - most recent fiscal year,cashPerShareMostRecentFiscalYear,17.55
