displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash ,Cash,1888.00,,,2020,Annual
Cash Equivalents ,CashEquivalents,2078.00,,,2020,Annual
Short Term Investments ,ShortTermInvestments,7953.00,,,2020,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,11919.00,,,2020,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,4399.00,,,2020,Annual
Total Receivables Net ,TotalReceivablesNet,8383.00,,,2020,Annual
Total Inventory ,TotalInventory,14927.00,,,2020,Annual
Prepaid Expenses ,PrepaidExpenses,253.00,,,2020,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,996.00,,,2020,Annual
Total Current Assets ,TotalCurrentAssets,36478.00,,,2020,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,79378.00,,,2020,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-18282,,,2020,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,87953.00,,,2020,Annual
Goodwill Net ,GoodwillNet,415.00,,,2020,Annual
Intangibles Net ,IntangiblesNet,684.00,,,2020,Annual
Long Term Investments ,LongTermInvestments,1481.00,,,2020,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,3953.00,,,2020,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,856.00,,,2020,Annual
Total Assets ,TotalAssets,131820.00,,,2020,Annual
Accounts Payable ,AccountsPayable,17918.00,,,2020,Annual
Accrued Expenses ,AccruedExpenses,964.00,,,2020,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,8325.00,,,2020,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,6681.00,,,2020,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,9800.00,,,2020,Annual
Total Current Liabilities ,TotalCurrentLiabilities,43688.00,,,2020,Annual
Long Term Debt ,LongTermDebt,44673.00,,,2020,Annual
Capital Lease Obligations ,CapitalLeaseObligations,1744.00,,,2020,Annual
Total Long Term Debt ,TotalLongTermDebt,46417.00,,,2020,Annual
Total Debt ,TotalDebt,61423.00,,,2020,Annual
Deferred Income Tax ,DeferredIncomeTax,1677.00,,,2020,Annual
Minority Interest ,MinorityInterest,-575,,,2020,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,4014.00,,,2020,Annual
Total Liabilities ,TotalLiabilities,95221.00,,,2020,Annual
Common Stock Total ,CommonStockTotal,242.00,,,2020,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,5478.00,,,2020,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),32008.00,,,2020,Annual
Treasury Stock- Common ,TreasuryStock-Common,-2,,,2020,Annual
Other Equity Total ,OtherEquityTotal,-1127,,,2020,Annual
Total Equity ,TotalEquity,36599.00,,,2020,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,131820.00,,,2020,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,240.23,,,2020,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,147.77,,,2020,Annual
period Length ,periodLength,0.00,,,2020,Annual
