displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,3013.00,,,2020,Annual
Depreciation/ Depletion ,Depreciation/Depletion,4246.00,,,2020,Annual
Non- Cash Items ,Non-CashItems,5042.00,,,2020,Annual
Changesin Working Capital ,ChangesinWorkingCapital,487.00,,,2020,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,12788.00,,,2020,Annual
Capital Expenditures ,CapitalExpenditures,-12810,,,2020,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,-6776,,,2020,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-19586,,,2020,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-4520,,,2020,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-1195,,,2020,Annual
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,-566,,,2020,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,11470.00,,,2020,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,5189.00,,,2020,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,-6,,,2020,Annual
Net Changein Cash ,NetChangeinCash,-1615,,,2020,Annual
Cash Interest Paid ,CashInterestPaid,4520.00,,,2020,Annual
Cash Taxes Paid ,CashTaxesPaid,1155.00,,,2020,Annual
period Length ,periodLength,12,,,2020,Annual
period Type ,periodType,Months,,,2020,Annual
