displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,79839.00,,,2021,Annual
Total Revenue ,TotalRevenue,79839.00,,,2021,Annual
Costof Revenue Total ,CostofRevenueTotal,48522.00,,,2021,Annual
Gross Profit ,GrossProfit,31317.00,,,2021,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,9229.00,,,2021,Annual
Depreciation/ Amortization ,Depreciation/Amortization,4675.00,,,2021,Annual
Interest Exp( Inc) Net- Operating Total ,InterestExp(Inc)Net-OperatingTotal,4.00,,,2021,Annual
Unusual Expense( Income) ,UnusualExpense(Income),120.00,,,2021,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,2012.00,,,2021,Annual
Total Operating Expense ,TotalOperatingExpense,64562.00,,,2021,Annual
Operating Income ,OperatingIncome,15277.00,,,2021,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-3100,,,2021,Annual
Other Net ,OtherNet,-162,,,2021,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,12015.00,,,2021,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,4142.00,,,2021,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,7873.00,,,2021,Annual
Minority Interest ,MinorityInterest,38.00,,,2021,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,7911.00,,,2021,Annual
Total Extraordinary Items ,TotalExtraordinaryItems,0.00,,,2021,Annual
Net Income ,NetIncome,7911.00,,,2021,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,7911.00,,,2021,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,7911.00,,,2021,Annual
Diluted Net Income ,DilutedNetIncome,7911.00,,,2021,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,241.72,,,2021,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,32.73,,,2021,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,6.50,,,2021,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,33.05,,,2021,Annual
period Length ,periodLength,12,,,2021,Annual
period Type ,periodType,Months,,,2021,Annual
