displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,175006.00,,,2024,Annual
Total Revenue ,TotalRevenue,175006.00,,,2024,Annual
Costof Revenue Total ,CostofRevenueTotal,124413.00,,,2024,Annual
Gross Profit ,GrossProfit,50593.00,,,2024,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,18464.00,,,2024,Annual
Depreciation/ Amortization ,Depreciation/Amortization,8170.00,,,2024,Annual
Interest Exp( Inc) Net- Operating Total ,InterestExp(Inc)Net-OperatingTotal,2.00,,,2024,Annual
Unusual Expense( Income) ,UnusualExpense(Income),-589,,,2024,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,3461.00,,,2024,Annual
Total Operating Expense ,TotalOperatingExpense,153921.00,,,2024,Annual
Operating Income ,OperatingIncome,21085.00,,,2024,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-7305,,,2024,Annual
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,-93,,,2024,Annual
Other Net ,OtherNet,-307,,,2024,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,13380.00,,,2024,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,4407.00,,,2024,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,8973.00,,,2024,Annual
Minority Interest ,MinorityInterest,-161,,,2024,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,8812.00,,,2024,Annual
Net Income ,NetIncome,8812.00,,,2024,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,8812.00,,,2024,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,8812.00,,,2024,Annual
Diluted Net Income ,DilutedNetIncome,8812.00,,,2024,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,243.60,,,2024,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,36.17,,,2024,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,7.30,,,2024,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,34.81,,,2024,Annual
period Length ,periodLength,12,,,2024,Annual
period Type ,periodType,Months,,,2024,Annual
