displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash Duefrom Banks ,CashDuefromBanks,44057.17,,,2024,Annual
Other Earning Assets Total ,OtherEarningAssetsTotal,257809.68,,,2024,Annual
Net Loans ,NetLoans,428986.56,,,2024,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,6401.58,,,2024,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-4200.88,,,2024,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,2200.71,,,2024,Annual
Goodwill Net ,GoodwillNet,947.76,,,2024,Annual
Intangibles Net ,IntangiblesNet,361.80,,,2024,Annual
Long Term Investments ,LongTermInvestments,1689.47,,,2024,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,878.61,,,2024,Annual
Other Assets Total ,OtherAssetsTotal,30735.20,,,2024,Annual
Total Assets ,TotalAssets,767666.96,,,2024,Annual
Accounts Payable ,AccountsPayable,3032.48,,,2024,Annual
Total Deposits ,TotalDeposits,445268.76,,,2024,Annual
Total Short Term Borrowings ,TotalShortTermBorrowings,3605.13,,,2024,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,878.41,,,2024,Annual
Long Term Debt ,LongTermDebt,75105.61,,,2024,Annual
Total Long Term Debt ,TotalLongTermDebt,75105.61,,,2024,Annual
Total Debt ,TotalDebt,78710.74,,,2024,Annual
Deferred Income Tax ,DeferredIncomeTax,246.60,,,2024,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,109558.28,,,2024,Annual
Total Liabilities ,TotalLiabilities,637695.27,,,2024,Annual
Preferred Stock- Non Redeemable Net ,PreferredStock-NonRedeemableNet,0.00,,,2024,Annual
Common Stock Total ,CommonStockTotal,993.96,,,2024,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,25532.96,,,2024,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),98489.77,,,2024,Annual
ESOP Debt Guarantee ,ESOPDebtGuarantee,79.29,,,2024,Annual
Unrealized Gain( Loss) ,UnrealizedGain(Loss),4331.68,,,2024,Annual
Other Equity Total ,OtherEquityTotal,544.02,,,2024,Annual
Total Equity ,TotalEquity,129971.69,,,2024,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,767666.96,,,2024,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,198.79,,,2024,Annual
Total Preferred Shares Outstanding ,TotalPreferredSharesOutstanding,0.00,,,2024,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,647.22,,,2024,Annual
period Length ,periodLength,0.00,,,2024,Annual
