displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,8607.08,,,2020,Annual
Depreciation/ Depletion ,Depreciation/Depletion,464.89,,,2020,Annual
Non- Cash Items ,Non-CashItems,3283.18,,,2020,Annual
Changesin Working Capital ,ChangesinWorkingCapital,34263.68,,,2020,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,46618.83,,,2020,Annual
Capital Expenditures ,CapitalExpenditures,-452.62,,,2020,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,-12746.25,,,2020,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-13198.87,,,2020,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-0.37,,,2020,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-233.02,,,2020,Annual
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,360.61,,,2020,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,-862.22,,,2020,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-735.00,,,2020,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,130.43,,,2020,Annual
Net Changein Cash ,NetChangeinCash,32815.39,,,2020,Annual
Cash Taxes Paid ,CashTaxesPaid,2866.28,,,2020,Annual
period Length ,periodLength,12,,,2020,Annual
period Type ,periodType,Months,,,2020,Annual
