displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Interest Income Bank ,InterestIncomeBank,33740.40,,,2022,Annual
Total Interest Expense ,TotalInterestExpense,11553.29,,,2022,Annual
Net Interest Income ,NetInterestIncome,22187.10,,,2022,Annual
Loan Loss Provision ,LoanLossProvision,1222.72,,,2022,Annual
Net Interest Inc After Loan Loss Prov ,NetInterestIncAfterLoanLossProv,20964.38,,,2022,Annual
Non- Interest Income Bank ,Non-InterestIncomeBank,25310.61,,,2022,Annual
Non- Interest Expense Bank ,Non-InterestExpenseBank,-30326.69,,,2022,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,15948.30,,,2022,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,4016.43,,,2022,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,11931.87,,,2022,Annual
Minority Interest ,MinorityInterest,0.00,,,2022,Annual
Equity In Affiliates ,EquityInAffiliates,157.52,,,2022,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,12089.39,,,2022,Annual
Net Income ,NetIncome,12089.39,,,2022,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,12089.39,,,2022,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,12089.39,,,2022,Annual
Diluted Net Income ,DilutedNetIncome,12089.39,,,2022,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,198.40,,,2022,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,60.94,,,2022,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,1.10,,,2022,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,57.39,,,2022,Annual
period Length ,periodLength,12,,,2022,Annual
period Type ,periodType,Months,,,2022,Annual
