Date,Volume,Delivery (%)
2024-06-06,6599052,55.0
2024-06-07,5098181,54.0
2024-06-10,5602368,61.0
2024-06-11,4243313,57.0
2024-06-12,6008035,64.0
2024-06-13,6092975,75.0
2024-06-14,3816420,51.0
2024-06-18,5866917,72.0
2024-06-19,10326285,48.0
2024-06-20,9460365,59.0
2024-06-21,19533110,74.0
2024-06-24,4952243,46.0
2024-06-25,6019495,41.0
2024-06-26,6936723,54.0
2024-06-27,13435563,
2024-06-28,5298733,58.0
2024-07-01,3339238,43.0
2024-07-02,10031486,52.0
2024-07-03,9350949,38.0
2024-07-04,5444363,66.0
2024-07-05,3869124,51.0
2024-07-08,4132201,57.0
2024-07-09,4015121,53.0
2024-07-10,5664565,58.0
2024-07-11,4718130,70.0
2024-07-12,5449888,62.0
2024-07-15,6675847,45.0
2024-07-16,6679830,71.0
2024-07-18,7684691,71.0
2024-07-19,4383491,66.0
2024-07-22,11485997,60.0
2024-07-23,6336134,44.0
2024-07-24,7655251,42.0
2024-07-25,3142697,49.0
2024-07-26,5722076,58.0
2024-07-29,8734168,44.0
2024-07-30,5905597,59.0
2024-07-31,5912067,59.0
2024-08-01,3910480,57.0
2024-08-02,3605425,57.0
2024-08-05,5478265,56.0
2024-08-06,4088129,56.0
2024-08-07,3745987,42.0
2024-08-08,2599373,55.0
2024-08-09,2576343,62.0
2024-08-12,5003309,50.0
2024-08-13,3598968,45.0
2024-08-14,2758232,55.0
2024-08-16,3125723,57.0
2024-08-19,2424083,46.0
2024-08-20,3155276,55.0
2024-08-21,5867744,49.0
2024-08-22,3328891,65.0
2024-08-23,1963281,60.0
2024-08-26,2628479,55.0
2024-08-27,4675859,59.0
2024-08-28,4332899,54.0
2024-08-29,5550307,67.0
2024-08-30,7644475,75.0
2024-09-02,4400277,55.0
2024-09-03,5779702,53.0
2024-09-04,3254292,51.0
2024-09-05,3623021,65.0
2024-09-06,3502173,56.0
2024-09-09,3524154,55.0
2024-09-10,3559010,58.0
2024-09-11,3753675,39.0
2024-09-12,6499368,67.0
2024-09-13,2192946,56.0
2024-09-16,2994074,57.0
2024-09-17,3781878,59.0
2024-09-18,6917412,69.0
2024-09-19,2934518,51.0
2024-09-20,19512000,68.0
2024-09-23,3979556,61.0
2024-09-24,3791180,63.0
2024-09-25,3389958,63.0
2024-09-26,4232609,73.0
2024-09-27,6728227,80.0
2024-09-30,3537653,64.0
2024-10-01,4904020,65.0
2024-10-03,6450076,77.0
2024-10-04,3942655,49.0
2024-10-07,7885666,36.0
2024-10-08,5125536,68.0
2024-10-09,7131372,47.0
2024-10-10,5995995,50.0
2024-10-11,5316451,73.0
2024-10-14,4721339,70.0
2024-10-15,4320225,76.0
2024-10-16,3613519,67.0
2024-10-17,3555814,75.0
2024-10-18,3871157,64.0
2024-10-21,13792607,58.0
2024-10-22,5629986,52.0
2024-10-23,2901307,53.0
2024-10-24,2330489,67.0
2024-10-25,2979288,55.0
2024-10-28,3606998,54.0
2024-10-29,4184458,56.0
2024-10-30,4429406,53.0
2024-10-31,3121270,62.0
2024-11-01,195064,37.0
2024-11-04,2973021,45.0
2024-11-05,4065116,51.0
2024-11-06,3690847,59.0
2024-11-07,3091167,71.0
2024-11-08,3706863,69.0
2024-11-11,3783665,44.0
2024-11-12,3269040,58.0
2024-11-13,3697111,50.0
2024-11-14,3425106,70.0
2024-11-18,2218283,65.0
2024-11-19,3457661,71.0
2024-11-21,3317136,53.0
2024-11-22,3641857,72.0
2024-11-25,7170026,70.0
2024-11-26,2358479,55.0
2024-11-27,3257026,51.0
2024-11-28,4022000,69.0
2024-11-29,3111642,69.0
2024-12-02,4717179,69.0
2024-12-03,4264940,78.0
2024-12-04,3220383,74.0
2024-12-05,5724658,64.0
2024-12-06,2651845,72.0
2024-12-09,2585586,68.0
2024-12-10,2034048,73.0
2024-12-11,2440613,76.0
2024-12-12,3533510,72.0
2024-12-13,3998293,64.0
2024-12-16,3066903,68.0
2024-12-17,3612224,70.0
2024-12-18,3571409,71.0
2024-12-19,4114918,73.0
2024-12-20,14719539,78.0
2024-12-23,2777374,65.0
2024-12-24,2728175,46.0
2024-12-26,1156749,47.0
2024-12-27,2516740,70.0
2024-12-30,5592794,51.0
2024-12-31,4825681,53.0
2025-01-01,1515719,57.0
2025-01-02,5169537,64.0
2025-01-03,4334849,67.0
2025-01-06,4075205,67.0
2025-01-07,4425518,69.0
2025-01-08,4395598,61.0
2025-01-09,5542124,67.0
2025-01-10,3519830,70.0
2025-01-13,3148989,71.0
2025-01-14,5044188,70.0
2025-01-15,3528593,71.0
2025-01-16,4470615,69.0
2025-01-17,3545032,66.0
2025-01-20,13972841,46.0
2025-01-21,4674285,44.0
2025-01-22,4275400,58.0
2025-01-23,3201167,57.0
2025-01-24,4078037,62.0
2025-01-27,1990177,54.0
2025-01-28,5283255,64.0
2025-01-29,2392393,61.0
2025-01-30,4331768,37.0
2025-01-31,2355280,71.0
2025-02-01,1147408,34.0
2025-02-03,3338778,81.0
2025-02-04,5413656,66.0
2025-02-05,3476534,71.0
2025-02-06,3211183,67.0
2025-02-07,4434949,72.0
2025-02-10,3736807,55.0
2025-02-11,3601815,57.0
2025-02-12,3268458,66.0
2025-02-13,12826489,73.0
2025-02-14,2629748,70.0
2025-02-17,2320785,63.0
2025-02-18,4393919,78.0
2025-02-19,3956603,73.0
2025-02-20,4766338,75.0
2025-02-21,4036895,72.0
2025-02-24,2259090,68.0
2025-02-25,4269901,63.0
2025-02-27,3741990,65.0
2025-02-28,6994007,76.0
2025-03-03,2640351,73.0
2025-03-04,3213957,75.0
2025-03-05,5171800,79.0
2025-03-06,5229361,63.0
2025-03-07,2795759,71.0
2025-03-10,2239975,75.0
2025-03-11,3251559,72.0
2025-03-12,6779190,73.0
2025-03-13,5004766,77.0
2025-03-17,3191501,76.0
2025-03-18,5450362,73.0
2025-03-19,5432008,77.0
2025-03-20,2720350,71.0
2025-03-21,18921249,82.0
2025-03-24,8754297,65.0
2025-03-25,7527078,68.0
2025-03-26,3083717,67.0
2025-03-27,9450011,73.0
2025-03-28,3738170,69.0
2025-04-01,3846732,62.0
2025-04-02,2147188,78.0
2025-04-03,1712703,71.0
2025-04-04,3820275,73.0
2025-04-07,7362703,67.0
2025-04-08,4200495,59.0
2025-04-09,3947209,67.0
2025-04-11,5736334,67.0
2025-04-15,5710223,67.0
2025-04-16,3069054,63.0
2025-04-17,5583220,62.0
2025-04-21,4941672,63.0
2025-04-22,6883596,68.0
2025-04-23,3681937,69.0
2025-04-24,4241767,63.0
2025-04-25,2220804,57.0
2025-04-28,2529293,61.0
2025-04-29,3171418,59.0
2025-04-30,4735329,65.0
2025-05-02,2732999,68.0
2025-05-05,8972835,51.0
2025-05-06,3471342,73.0
2025-05-07,3760781,75.0
2025-05-08,7017258,70.0
2025-05-09,4676544,59.0
