displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash Equivalents ,CashEquivalents,235.27,,,2024,Annual
Short Term Investments ,ShortTermInvestments,365.03,,,2024,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,600.30,,,2024,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,628.54,,,2024,Annual
Total Receivables Net ,TotalReceivablesNet,658.96,,,2024,Annual
Total Inventory ,TotalInventory,123.52,,,2024,Annual
Prepaid Expenses ,PrepaidExpenses,28.16,,,2024,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,9.66,,,2024,Annual
Total Current Assets ,TotalCurrentAssets,1420.59,,,2024,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,6803.91,,,2024,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-1536.34,,,2024,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,5808.01,,,2024,Annual
Goodwill Net ,GoodwillNet,4194.16,,,2024,Annual
Intangibles Net ,IntangiblesNet,413.45,,,2024,Annual
Long Term Investments ,LongTermInvestments,229.77,,,2024,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,847.41,,,2024,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,375.39,,,2024,Annual
Total Assets ,TotalAssets,13288.78,,,2024,Annual
Accounts Payable ,AccountsPayable,727.79,,,2024,Annual
Accrued Expenses ,AccruedExpenses,2.69,,,2024,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,68.68,,,2024,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,100.52,,,2024,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,2270.49,,,2024,Annual
Total Current Liabilities ,TotalCurrentLiabilities,3170.17,,,2024,Annual
Long Term Debt ,LongTermDebt,733.76,,,2024,Annual
Capital Lease Obligations ,CapitalLeaseObligations,252.06,,,2024,Annual
Total Long Term Debt ,TotalLongTermDebt,985.82,,,2024,Annual
Total Debt ,TotalDebt,1155.02,,,2024,Annual
Deferred Income Tax ,DeferredIncomeTax,429.28,,,2024,Annual
Minority Interest ,MinorityInterest,893.24,,,2024,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,147.37,,,2024,Annual
Total Liabilities ,TotalLiabilities,5625.88,,,2024,Annual
Common Stock Total ,CommonStockTotal,754.96,,,2024,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,7215.19,,,2024,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),-154.33,,,2024,Annual
Other Equity Total ,OtherEquityTotal,-152.93,,,2024,Annual
Total Equity ,TotalEquity,7662.90,,,2024,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,13288.78,,,2024,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,75.50,,,2024,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,40.47,,,2024,Annual
period Length ,periodLength,0.00,,,2024,Annual
