displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash Equivalents ,CashEquivalents,507.99,,,2025,Annual
Short Term Investments ,ShortTermInvestments,10.80,,,2025,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,518.79,,,2025,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,784.49,,,2025,Annual
Total Receivables Net ,TotalReceivablesNet,786.24,,,2025,Annual
Total Inventory ,TotalInventory,115.30,,,2025,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,51.03,,,2025,Annual
Total Current Assets ,TotalCurrentAssets,1471.36,,,2025,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,6252.06,,,2025,Annual
Goodwill Net ,GoodwillNet,4194.16,,,2025,Annual
Intangibles Net ,IntangiblesNet,384.10,,,2025,Annual
Long Term Investments ,LongTermInvestments,169.10,,,2025,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,751.84,,,2025,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,468.91,,,2025,Annual
Total Assets ,TotalAssets,13691.53,,,2025,Annual
Accounts Payable ,AccountsPayable,807.62,,,2025,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,163.78,,,2025,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,635.92,,,2025,Annual
Total Current Liabilities ,TotalCurrentLiabilities,1607.32,,,2025,Annual
Long Term Debt ,LongTermDebt,2085.72,,,2025,Annual
Capital Lease Obligations ,CapitalLeaseObligations,225.60,,,2025,Annual
Total Long Term Debt ,TotalLongTermDebt,2311.32,,,2025,Annual
Total Debt ,TotalDebt,2475.10,,,2025,Annual
Deferred Income Tax ,DeferredIncomeTax,439.83,,,2025,Annual
Minority Interest ,MinorityInterest,252.87,,,2025,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,163.67,,,2025,Annual
Total Liabilities ,TotalLiabilities,4775.01,,,2025,Annual
Common Stock Total ,CommonStockTotal,754.96,,,2025,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),8161.56,,,2025,Annual
Total Equity ,TotalEquity,8916.52,,,2025,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,13691.53,,,2025,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,75.50,,,2025,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,57.46,,,2025,Annual
period Length ,periodLength,0.00,,,2025,Annual
