displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,857.97,,,2024,Annual
Depreciation/ Depletion ,Depreciation/Depletion,342.50,,,2024,Annual
Non- Cash Items ,Non-CashItems,101.78,,,2024,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-202.15,,,2024,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,1100.10,,,2024,Annual
Capital Expenditures ,CapitalExpenditures,-942.47,,,2024,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,56.10,,,2024,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-886.37,,,2024,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-129.99,,,2024,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-86.03,,,2024,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,129.56,,,2024,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-86.46,,,2024,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,-2.75,,,2024,Annual
Net Changein Cash ,NetChangeinCash,124.52,,,2024,Annual
Cash Interest Paid ,CashInterestPaid,129.99,,,2024,Annual
Cash Taxes Paid ,CashTaxesPaid,221.81,,,2024,Annual
period Length ,periodLength,12,,,2024,Annual
period Type ,periodType,Months,,,2024,Annual
