displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,1679.68,,,2024,Interim
Total Revenue ,TotalRevenue,1679.68,,,2024,Interim
Costof Revenue Total ,CostofRevenueTotal,393.77,,,2024,Interim
Gross Profit ,GrossProfit,1285.91,,,2024,Interim
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,644.73,,,2024,Interim
Depreciation/ Amortization ,Depreciation/Amortization,86.91,,,2024,Interim
Unusual Expense( Income) ,UnusualExpense(Income),-7.71,,,2024,Interim
Other Operating Expenses Total ,OtherOperatingExpensesTotal,357.21,,,2024,Interim
Total Operating Expense ,TotalOperatingExpense,1474.91,,,2024,Interim
Operating Income ,OperatingIncome,204.77,,,2024,Interim
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-28.43,,,2024,Interim
Other Net ,OtherNet,6.81,,,2024,Interim
Net Income Before Taxes ,NetIncomeBeforeTaxes,183.15,,,2024,Interim
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,48.92,,,2024,Interim
Net Income After Taxes ,NetIncomeAfterTaxes,134.23,,,2024,Interim
Minority Interest ,MinorityInterest,0.44,,,2024,Interim
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,134.67,,,2024,Interim
Net Income ,NetIncome,134.67,,,2024,Interim
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,134.67,,,2024,Interim
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,134.67,,,2024,Interim
Diluted Net Income ,DilutedNetIncome,134.67,,,2024,Interim
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,75.66,,,2024,Interim
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,1.78,,,2024,Interim
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,0.00,,,2024,Interim
Diluted Normalized EPS ,DilutedNormalizedEPS,1.71,,,2024,Interim
period Length ,periodLength,3,,,2024,Interim
period Type ,periodType,Months,,,2024,Interim
