displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,7782.75,,,2025,Annual
Total Revenue ,TotalRevenue,7782.75,,,2025,Annual
Costof Revenue Total ,CostofRevenueTotal,1830.19,,,2025,Annual
Gross Profit ,GrossProfit,5952.56,,,2025,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,2797.86,,,2025,Annual
Depreciation/ Amortization ,Depreciation/Amortization,385.61,,,2025,Annual
Unusual Expense( Income) ,UnusualExpense(Income),89.34,,,2025,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,1566.76,,,2025,Annual
Total Operating Expense ,TotalOperatingExpense,6669.76,,,2025,Annual
Operating Income ,OperatingIncome,1112.99,,,2025,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-172.89,,,2025,Annual
Other Net ,OtherNet,66.94,,,2025,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,1007.04,,,2025,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,197.66,,,2025,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,809.38,,,2025,Annual
Minority Interest ,MinorityInterest,-35.17,,,2025,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,774.21,,,2025,Annual
Net Income ,NetIncome,774.21,,,2025,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,774.21,,,2025,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,774.21,,,2025,Annual
Diluted Net Income ,DilutedNetIncome,774.21,,,2025,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,75.46,,,2025,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,10.26,,,2025,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,1.00,,,2025,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,11.21,,,2025,Annual
period Length ,periodLength,12,,,2025,Annual
period Type ,periodType,Months,,,2025,Annual
