displayName,key,value
"EPS Change %, TTM over TTM",ePSChangePercentTTMOverTTM,29.52
"Revenue growth rate, 5 year",revenueGrowthRate5Year,10.93
"EPS growth rate, 5 year",ePSGrowthRate5Year,67.97
Revenue Change % - most recent quarter 1 year ago,revenueChangePercentMostRecentQuarter1YearAgo,12.39
"Growth rate% - dividend, 3 year",growthRatePercentDividend3Year,
"Growth rate% - EPS, 3 year",growthRatePercentEPS3year,11.75
Revenue/share (5 yr growth),revenuePerShare(5yrGrowth),10.95
"Free Operating Cash Flow, 5 Year CAGR",freeOperatingCashFlow5YearCAGR,97.30
"Tangible Book Value, Total Equity, 5 Year CAGR",tangibleBookValueTotalEquity5YearCAGR,8.66
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year Interim CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearInterimCAGR,21.11
"Capital Spending growth rate, 5 year",capitalSpendingGrowthRate5Year,40.28
"Revenue Change %, TTM over TTM",revenueChangePercentTTMPOverTTM,12.91
"Growth rate% -  Revenue, 3 year",growthRatePercentRevenue3Year,10.83
"Book value per share growth rate, 5 year",bookValuePerShareGrowthRate5Year,6.01
EPS Change % - most recent quarter 1 year ago,ePSChangePercentMostRecentQuarter1YearAgo),3.33
"Net Profit Margin growth rate, 5 year",netProfitMarginGrowthRate5Year,39.41
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearCAGR,21.07
"Total Debt, 5 Year CAGR",totalDebt5YearCAGR,9.20
