displayName,key,value
Market Cap,marketCap,57621.04
52 week Low Date,52WeekLowDate,2024-06-06T00:00:00
Price - 1 Day % Change,price1DayPercentChange,2.15
Relative (S&P500) price percent change - 13 week,relativePricePercentChange13Week,6.21
Avg trading volume last 10 days,avgTradingVolumeLast10Days,2.07
Price - 13 week price percent change,price13WeekPricePercentChange,16.36
Price - 52 week price percent change,price52WeekPricePercentChange,70.28
Avg Trading Volume Last 3 months,avgTradingVolumeLast3months,41.01
Price - 5 Day % Change,price5DayPercentChange,5.37
Price % Change Month To Date,pricePercentChangeMonthToDate,6.86
Relative (S&P500) price percent change - 04 week,relativePricePercentChange-04week,12.33
52 week High Date,52WeekHighDate,2025-06-05T00:00:00
Price - 26 week price percent change,price26WeekPricePercentChange,8.76
PDATE,PDATE,2025-06-05T00:00:00
Price - YTD price percent change,priceYTDPricePercentChange,4.85
Relative (S&P500) price percent change - 52 week,relativePricePercentChange52Week,55.52
NPRICE,NPRICE,754.75
Relative (S&P500) price percent change - 26 week,relativePricePercentChange26Week,9.19
52 week Low,52WeekLow,444.50
52 week High,52WeekHigh,756.90
Beta,beta,1.04
Relative (S&P500) price percent change - Year to Date,relativePricePercentChangeYearToDate,0.60
