Date,Price on NSE
2024-06-06,4800.25
2024-06-07,4977.2
2024-06-10,4903.45
2024-06-11,4903.55
2024-06-12,4951.1
2024-06-13,5047.2
2024-06-14,5032.55
2024-06-18,5089.6
2024-06-19,5019.85
2024-06-20,5052.45
2024-06-21,5125.45
2024-06-24,5111.2
2024-06-25,5123.85
2024-06-26,5177.5
2024-06-27,5377.05
2024-06-28,5385.05
2024-07-01,5447.5
2024-07-02,5474.0
2024-07-03,5466.4
2024-07-04,5459.5
2024-07-05,5421.7
2024-07-08,5389.7
2024-07-09,5377.15
2024-07-10,5376.25
2024-07-11,5407.6
2024-07-12,5572.65
2024-07-15,5478.15
2024-07-16,5562.35
2024-07-18,5756.9
2024-07-19,5762.75
2024-07-22,5718.35
2024-07-23,5688.6
2024-07-24,5665.15
2024-07-25,5597.9
2024-07-26,5788.45
2024-07-29,5786.6
2024-07-30,5672.5
2024-07-31,5658.15
2024-08-01,5678.9
2024-08-02,5509.9
2024-08-05,5390.1
2024-08-06,5460.75
2024-08-07,5567.5
2024-08-08,5338.3
2024-08-09,5373.55
2024-08-12,5400.45
2024-08-13,5384.9
2024-08-14,5427.55
2024-08-16,5563.75
2024-08-19,5676.1
2024-08-20,5707.8
2024-08-21,5713.45
2024-08-22,5704.4
2024-08-23,5641.6
2024-08-26,5739.95
2024-08-27,5751.55
2024-08-28,6127.55
2024-08-29,6132.1
2024-08-30,6156.05
2024-09-02,6153.5
2024-09-03,6145.7
2024-09-04,6071.2
2024-09-05,6149.3
2024-09-06,6165.4
2024-09-09,6146.6
2024-09-10,6343.35
2024-09-11,6299.3
2024-09-12,6392.35
2024-09-13,6416.2
2024-09-16,6423.45
2024-09-17,6455.75
2024-09-18,6366.3
2024-09-19,6377.15
2024-09-20,6373.1
2024-09-23,6326.1
2024-09-24,6344.1
2024-09-25,6102.55
2024-09-26,6164.05
2024-09-27,6136.1
2024-09-30,6244.35
2024-10-01,6273.45
2024-10-03,6183.85
2024-10-04,6114.1
2024-10-07,6254.95
2024-10-08,6376.8
2024-10-09,6440.55
2024-10-10,6346.05
2024-10-11,6410.95
2024-10-14,6448.55
2024-10-15,6460.8
2024-10-16,6359.35
2024-10-17,6394.45
2024-10-18,5991.7
2024-10-21,5943.1
2024-10-22,5876.65
2024-10-23,5935.05
2024-10-24,5970.35
2024-10-25,5903.2
2024-10-28,5889.8
2024-10-29,5852.25
2024-10-30,5795.15
2024-10-31,5710.85
2024-11-01,5731.6
2024-11-04,5737.15
2024-11-05,5719.85
2024-11-06,5990.15
2024-11-07,5886.0
2024-11-08,5926.95
2024-11-11,5974.6
2024-11-12,6005.05
2024-11-13,5947.55
2024-11-14,5994.65
2024-11-18,5841.5
2024-11-19,5885.95
2024-11-21,5931.05
2024-11-22,6133.7
2024-11-25,6115.25
2024-11-26,6227.15
2024-11-27,6261.7
2024-11-28,6159.75
2024-11-29,6172.4
2024-12-02,6213.35
2024-12-03,6167.0
2024-12-04,6221.5
2024-12-05,6347.15
2024-12-06,6378.9
2024-12-09,6389.05
2024-12-10,6579.3
2024-12-11,6598.6
2024-12-12,6667.65
2024-12-13,6714.45
2024-12-16,6738.45
2024-12-17,6696.95
2024-12-18,6574.05
2024-12-19,6220.6
2024-12-20,5824.3
2024-12-23,5730.45
2024-12-24,5725.7
2024-12-26,5752.35
2024-12-27,5678.0
2024-12-30,5643.5
2024-12-31,5585.9
2025-01-01,5673.35
2025-01-02,5753.05
2025-01-03,5733.4
2025-01-06,5731.35
2025-01-07,5756.95
2025-01-08,5881.85
2025-01-09,5840.7
2025-01-10,6124.4
2025-01-13,6030.75
2025-01-14,5751.9
2025-01-15,5837.55
2025-01-16,5978.8
2025-01-17,5890.3
2025-01-20,5825.3
2025-01-21,5758.4
2025-01-22,5849.9
2025-01-23,6002.05
2025-01-24,5998.15
2025-01-27,5685.7
2025-01-28,5665.4
2025-01-29,5882.75
2025-01-30,5840.25
2025-01-31,5914.15
2025-02-01,5906.3
2025-02-03,5790.65
2025-02-04,5902.25
2025-02-05,6024.7
2025-02-06,5944.85
2025-02-07,5956.6
2025-02-10,5797.9
2025-02-11,5677.7
2025-02-12,5705.5
2025-02-13,5601.45
2025-02-14,5511.6
2025-02-17,5472.6
2025-02-18,5668.6
2025-02-19,5470.1
2025-02-20,5395.25
2025-02-21,5298.5
2025-02-24,5047.45
2025-02-25,4963.2
2025-02-27,4878.6
2025-02-28,4665.95
2025-03-03,4834.2
2025-03-04,4685.0
2025-03-05,4773.5
2025-03-06,4823.1
2025-03-07,4721.95
2025-03-10,4670.95
2025-03-11,4654.45
2025-03-12,4485.9
2025-03-13,4467.05
2025-03-17,4359.8
2025-03-18,4445.55
2025-03-19,4365.45
2025-03-20,4421.15
2025-03-21,4520.25
