tickerId,companyName,remarks,dateOfAnnouncement,recordDate,agmDate,purpose
S0003046,Maruti Suzuki India,,2025-04-25,,2025-08-28,AGM
S0003046,Maruti Suzuki India,,2025-05-16,,2025-06-19,POM
S0003046,Maruti Suzuki India,,2025-02-18,,2025-03-25,POM
S0003046,Maruti Suzuki India,Dividend - Rs 125 Per Share,2024-06-22,,2024-08-27,AGM
S0003046,Maruti Suzuki India,,2024-08-05,,2024-08-27,AGM
S0003046,Maruti Suzuki India,,2024-02-14,,2024-03-19,POM
S0003046,Maruti Suzuki India,,2023-10-17,,2023-11-20,POM
S0003046,Maruti Suzuki India,Dividend - Rs 90 Per Share,2023-06-23,,2023-08-29,AGM
S0003046,Maruti Suzuki India,,2022-04-29,,2022-08-31,AGM
S0003046,Maruti Suzuki India,,2022-04-11,,2022-05-17,POM
S0003046,Maruti Suzuki India,,2021-05-31,,2021-08-24,AGM
