displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash Equivalents ,CashEquivalents,552.90,,,2025,Annual
Short Term Investments ,ShortTermInvestments,11686.50,,,2025,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,12239.40,,,2025,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,6539.70,,,2025,Annual
Total Receivables Net ,TotalReceivablesNet,6582.90,,,2025,Annual
Total Inventory ,TotalInventory,6913.20,,,2025,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,3788.70,,,2025,Annual
Total Current Assets ,TotalCurrentAssets,29524.20,,,2025,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,40019.80,,,2025,Annual
Intangibles Net ,IntangiblesNet,891.90,,,2025,Annual
Long Term Investments ,LongTermInvestments,58228.10,,,2025,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,497.00,,,2025,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,2810.80,,,2025,Annual
Total Assets ,TotalAssets,131971.80,,,2025,Annual
Accounts Payable ,AccountsPayable,20501.50,,,2025,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,0.00,,,2025,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,28.40,,,2025,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,10040.60,,,2025,Annual
Total Current Liabilities ,TotalCurrentLiabilities,30570.50,,,2025,Annual
Capital Lease Obligations ,CapitalLeaseObligations,58.60,,,2025,Annual
Total Long Term Debt ,TotalLongTermDebt,58.60,,,2025,Annual
Total Debt ,TotalDebt,87.00,,,2025,Annual
Deferred Income Tax ,DeferredIncomeTax,1594.40,,,2025,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,3508.40,,,2025,Annual
Total Liabilities ,TotalLiabilities,35731.90,,,2025,Annual
Common Stock Total ,CommonStockTotal,157.20,,,2025,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),96082.70,,,2025,Annual
Total Equity ,TotalEquity,96239.90,,,2025,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,131971.80,,,2025,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,31.44,,,2025,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,3032.67,,,2025,Annual
period Length ,periodLength,0.00,,,2025,Annual
