displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,7102.80,,,2020,Annual
Depreciation/ Depletion ,Depreciation/Depletion,3528.40,,,2020,Annual
Non- Cash Items ,Non-CashItems,-3214.50,,,2020,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-3920.90,,,2020,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,3495.80,,,2020,Annual
Capital Expenditures ,CapitalExpenditures,-3437,,,2020,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,2880.40,,,2020,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-556.60,,,2020,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-632.30,,,2020,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-2416.60,,,2020,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,-55.40,,,2020,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-3104.30,,,2020,Annual
Net Changein Cash ,NetChangeinCash,-165.10,,,2020,Annual
Cash Interest Paid ,CashInterestPaid,135.50,,,2020,Annual
Cash Taxes Paid ,CashTaxesPaid,1437.50,,,2020,Annual
period Length ,periodLength,12,,,2020,Annual
period Type ,periodType,Months,,,2020,Annual
